Score,TotalNumber,TotalPercentile,MaleNumber,MalePercentile,FemaleNumber,FemalePercentile
2400,583,99,327,99,256,99
2390,237,99,147,99,90,99
2380,329,99,187,99,142,99
2370,523,99,282,99,241,99
2360,667,99,385,99,282,99
2350,630,99,383,99,247,99
2340,918,99,506,99,412,99
2330,1075,99,599,99,476,99
2320,1233,99,669,99,564,99
2310,1246,99,718,99,528,99
2300,1371,99,737,99,634,99
2290,1522,99,889,99,633,99
2280,1426,99,758,99,668,99
2270,1703,99,959,99,744,99
2260,1848,99,982,99,866,99
2250,1914,99,1055,99,859,99
2240,1995,99,1083,99,912,99
2230,2184,99,1176,98,1008,99
2220,2296,99,1245,98,1051,99
2210,2560,98,1432,98,1128,99
2200,2574,98,1369,98,1205,99
2190,2794,98,1519,98,1275,98
2180,2844,98,1518,98,1326,98
2170,3074,98,1625,97,1449,98
2160,3187,98,1757,97,1430,98
2150,3351,97,1825,97,1526,98
2140,3631,97,1932,97,1699,98
2130,3715,97,1965,96,1750,97
2120,4024,97,2090,96,1934,97
2110,4289,96,2314,96,1975,97
2100,4413,96,2368,96,2045,97
2090,4555,96,2427,95,2128,96
2080,4636,96,2422,95,2214,96
2070,4991,95,2604,95,2387,96
2060,5252,95,2815,94,2437,96
2050,5418,95,2852,94,2566,95
2040,5616,94,2889,94,2727,95
2030,5974,94,3096,93,2878,95
2020,6332,94,3362,93,2970,94
2010,6494,93,3335,92,3159,94
2000,6615,93,3410,92,3205,94
1990,6783,92,3466,91,3317,93
1980,6913,92,3580,91,3333,93
1970,7292,92,3687,90,3605,93
1960,7597,91,3888,90,3709,92
1950,7866,91,4012,89,3854,92
1940,8204,90,4135,89,4069,91
1930,8394,90,4223,88,4171,91
1920,8886,89,4586,88,4300,90
1910,9235,89,4686,87,4549,90
1900,9366,88,4679,87,4687,89
1890,9741,87,4790,86,4951,89
1880,9827,87,4981,85,4846,88
1870,10302,86,5191,85,5111,88
1860,10438,86,5159,84,5279,87
1850,10932,85,5408,83,5524,86
1840,11183,84,5504,83,5679,86
1830,11268,84,5567,82,5701,85
1820,11728,83,5830,81,5898,84
1810,12138,82,5936,80,6202,84
1800,12506,81,6147,80,6359,83
1790,12724,81,6231,79,6493,82
1780,12898,80,6127,78,6771,81
1770,13322,79,6460,77,6862,81
1760,13461,78,6553,76,6908,80
1750,13882,77,6814,76,7068,79
1740,14337,77,6929,75,7408,78
1730,14421,76,6926,74,7495,77
1720,14678,75,7036,73,7642,77
1710,15183,74,7159,72,8024,76
1700,15302,73,7301,71,8001,75
1690,15746,72,7446,70,8300,74
1680,15801,71,7498,69,8303,73
1670,16179,70,7642,68,8537,72
1660,16258,69,7627,67,8631,71
1650,16695,68,7853,66,8842,70
1640,16989,67,8040,65,8949,69
1630,17166,66,7996,64,9170,68
1620,17466,65,8219,63,9247,67
1610,18152,64,8525,62,9627,66
1600,18006,63,8460,61,9546,65
1590,18216,62,8531,60,9685,64
1580,18515,61,8604,59,9911,63
1570,18779,60,8729,58,10050,61
1560,19128,59,8837,56,10291,60
1550,19110,57,8886,55,10224,59
1540,19032,56,8791,54,10241,58
1530,19539,55,8987,53,10552,57
1520,19552,54,8915,52,10637,56
1510,19914,53,9090,51,10824,54
1500,19947,52,9055,50,10892,53
1490,19471,50,8964,48,10507,52
1480,20088,49,9092,47,10996,51
1470,19874,48,9104,46,10770,50
1460,19908,47,9076,45,10832,48
1450,20196,46,9151,44,11045,47
1440,20068,44,9066,43,11002,46
1430,20059,43,9058,42,11001,45
1420,20434,42,9244,40,11190,43
1410,20201,41,9139,39,11062,42
1400,20046,40,9008,38,11038,41
1390,19807,38,8884,37,10923,40
1380,20187,37,9070,36,11117,38
1370,19851,36,8900,35,10951,37
1360,19712,35,8807,33,10905,36
1350,19504,34,8658,32,10846,35
1340,19411,32,8676,31,10735,33
1330,19309,31,8648,30,10661,32
1320,18917,30,8452,29,10465,31
1310,19026,29,8405,28,10621,30
1300,18500,28,8225,27,10275,29
1290,18340,27,8040,26,10300,28
1280,18057,26,7907,25,10150,26
1270,17924,25,7889,24,10035,25
1260,17509,24,7597,23,9912,24
1250,17168,23,7644,22,9524,23
1240,16802,22,7361,21,9441,22
1230,16689,21,7281,20,9408,21
1220,15933,20,7116,19,8817,20
1210,15491,19,6843,18,8648,19
1200,15457,18,6707,17,8750,18
1190,14908,17,6544,17,8364,17
1180,14168,16,6244,16,7924,16
1170,13887,15,6128,15,7759,15
1160,13400,14,5948,14,7452,15
1150,12917,14,5665,14,7252,14
1140,12499,13,5498,13,7001,13
1130,11961,12,5249,12,6712,12
1120,11763,11,5243,12,6520,11
1110,11267,11,5187,11,6080,11
1100,10534,10,4688,10,5846,10
1090,10106,10,4425,10,5681,9
1080,9672,9,4257,9,5415,9
1070,9288,8,4112,9,5176,8
1060,8776,8,3919,8,4857,8
1050,8568,7,3972,8,4596,7
1040,8065,7,3661,7,4404,7
1030,7457,6,3474,7,3983,6
1020,7195,6,3283,6,3912,6
1010,6692,6,2990,6,3702,5
1000,6272,5,2839,6,3433,5
990,5906,5,2715,5,3191,5
980,5631,5,2658,5,2973,4
970,5473,4,2502,5,2971,4
960,4882,4,2341,4,2541,4
950,4764,4,2267,4,2497,3
940,4493,3,2143,4,2350,3
930,4273,3,2052,3,2221,3
920,3899,3,1843,3,2056,3
910,3766,3,1795,3,1971,2
900,3627,2,1791,3,1836,2
890,3310,2,1613,3,1697,2
880,3119,2,1541,2,1578,2
870,3062,2,1517,2,1545,2
860,2777,2,1420,2,1357,2
850,2642,2,1298,2,1344,1
840,2485,1,1233,2,1252,1
830,2290,1,1146,1,1144,1
820,2198,1,1125,1,1073,1
810,2015,1,1034,1,981,1
800,1840,1,970,1,870,1
790,1660,1,865,1,795,1
780,1529,1,817,1,712,1
770,1448,1,785,1,663,1
760,1301,1,685,1,616,-1
750,1273,1,680,1,593,-1
740,1127,-1,594,1,533,-1
730,1018,-1,553,-1,465,-1
720,962,-1,550,-1,412,-1
710,821,-1,454,-1,367,-1
700,741,-1,415,-1,326,-1
690,648,-1,365,-1,283,-1
680,598,-1,344,-1,254,-1
670,505,-1,267,-1,238,-1
660,382,-1,212,-1,170,-1
650,340,-1,196,-1,144,-1
640,264,-1,147,-1,117,-1
630,292,-1,169,-1,123,-1
620,107,-1,55,-1,52,-1
610,183,-1,106,-1,77,-1
600,374,0,234,0,140,0
