CID,CSRankingAI,Average Count,Faculty,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support& Outcomes:5thPercentile,Student Support& Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall 2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
1,1,1,1,0.033898305,0.076923077,0.029411765,0.089108911,0.074074074,0.377192982,0.059405941,0.324074074,0.467213115,0.787037037,0.33827983,0.866599081,0.132450671,0.925832849,0.559305009,0.696969697,0.685082873,0.096333853,0.340601648,0.097441559,0.408943066,0.539893035,1,0.338146645,0.833946279,0.910834535,0.875,1,1,0.233333333,0.253968254,1,1,1,0.43486169,0.004433497,0.037815126,0.991243433,0,0,0.875,1,4,1,1,0,3,1,1,2,1,3,3,2,4,3,1,3,3,3,3,2,3,3
3,2,0.524850895,0.492307692,0,0,0,0,0,0,0.425742574,0.787037037,0.950819672,0.990740741,1,0.837321494,0.812214914,0.870191908,0.624664042,0.393939394,0.508287293,0.46424857,0.125002187,0.167426679,0.121220692,0.454065881,0.670391061,0.115156749,1,0.306248163,0.375,0.167630058,0.127885657,0.466666667,0.666666667,0.202898551,0.362903226,0.347953216,0.463660477,0.206896552,0.426470588,0.273204904,0,0.828042328,0.375,5,4,0,1,1,2,1,1,4,4,3,4,2,4,2,4,1,1,1,3,2,3,3
9,3,0.461232604,0.353846154,0.06779661,0.144230769,0.058823529,0.247524752,0.049382716,0.298245614,0.02970297,0.222222222,0.606557377,0.898148148,0.231677771,0.708692384,0.432083369,1,0.684674902,0.606060606,0.653314917,0,0.218749453,0,0.205079616,0.784818281,0.284916201,0.10159772,1,0,0.875,0.202312139,0.185880508,0.7,0.53968254,0.246376812,0.247311828,0.233918129,0.655477856,0.272727273,0.429621849,0,0.455,0,0.875,1,4,1,1,1,3,1,1,1,1,3,3,2,4,3,1,1,1,1,3,2,1,3
13,4,0.383697813,0.415384615,0.13559322,0.326923077,0.117647059,0.475247525,0.086419753,0.49122807,0.108910891,0.537037037,0.532786885,0.833333333,0.327983041,0.917306112,0.055368583,1,0.157553957,0.606060606,0.805248619,0,0.203489491,0.173474776,0.424498685,0.538519509,0.407821229,0.37013559,0.922980649,0,0.75,0.231213873,0.253124356,0.266666667,0.650793651,0.217391304,0.317204301,0.342105263,0.749920424,0.136551724,0,0,0.032,0.682539683,0.75,1,4,1,1,1,3,3,1,4,4,3,3,2,3,3,3,3,1,3,3,2,3,3
6,5,0.363817097,0.384615385,0.220338983,0.307692308,0.205882353,0.554455446,0.172839506,0.596491228,0.227722772,0.666666667,0.491803279,0.824074074,0.27195639,0.774623761,0.04504997,1,0.205986154,0.681818182,0.611878453,0.224128965,0.197189507,0.112945807,0.491698956,0.48162149,0.424581006,0.379618274,0.922518533,0.103697378,1,0.433526012,0.382772263,0.133333333,0.650793651,0.413043478,0.319892473,0.260233918,0.635622096,0.446979866,0.077731092,0.064798599,0.222,0,1,5,4,1,1,1,3,3,1,1,3,3,3,3,3,3,2,3,1,1,1,2,3,3
5,6,0.333996024,0.292307692,0.033898305,0.153846154,0.102941176,0.415841584,0.098765432,0.473684211,0.217821782,0.648148148,0.467213115,0.777777778,0.454875833,0.650591669,0.063261297,0.950548309,0.356142256,0.657575758,0.51519337,0.333333333,0.218749453,0.129746076,0.232429222,0.797799927,0.82122905,0.4499525,0.458823529,0.111999328,1,0.595375723,0.478541488,0.6,0.587301587,0.536231884,0.784946237,0.850877193,0.703670797,0.339209726,0.210084034,0.140105079,0,0,1,2,4,1,1,1,2,1,3,1,1,3,2,2,2,2,2,2,3,3,3,2,3,3
10,7,0.324055666,0.4,0.118644068,0.240384615,0.161764706,0.465346535,0.111111111,0.447368421,0.653465347,0.861111111,0.385245902,0.685185185,0.499697153,0.686021919,0.03334757,0.516989283,0.267463011,0.696969697,0.511049724,0,0.12804718,0.446503144,0.455723053,0.58655646,0.446927374,0.63775801,1,0.036847779,1,0.283236994,0.1964456,0.266666667,0.888888889,0.195652174,0.35483871,0.473684211,0.584615385,0.244444444,0.691176471,0,0,0,1,2,4,1,1,1,3,3,3,1,1,3,3,3,3,3,3,3,1,1,3,2,3,3
4,8,0.31610338,0.323076923,0,0,0,0,0,0,0.277227723,0.675925926,0.901639344,0.981481481,0.604482132,0.782227194,1,0.925832849,0.278281526,0.696969697,0.559392265,0.302392096,0.122097195,0.410262564,0.136861159,0.442518537,0.631284916,0.50968132,0.796880716,0.0499937,1,0.260115607,0.221644037,0.066666667,1,0.210144928,0.475806452,0.406432749,0.759730592,0,0.713235294,0,0.143,0,1,5,4,1,1,1,3,1,3,3,1,3,1,3,1,3,1,3,3,3,1,3,3,3
2,9,0.308151093,0.476923077,0.033898305,0.028846154,0.029411765,0.069306931,0.024691358,0.078947368,0.04950495,0.324074074,0.62295082,0.861111111,0.443670503,0.888063484,0.47556163,1,0.649287363,0.636363636,0.559392265,0.188377535,0.303326742,0.292708683,0.363633792,0.412410356,0.815642458,0,0.458823529,0.184210895,0.875,0.341040462,0.353349408,0.1,0.53968254,0.442028986,0.64516129,0.383040936,0.706585501,0.187769784,0.276260504,0.23117338,0,0,0.875,1,4,1,1,1,3,1,3,1,4,3,3,2,3,3,1,3,3,3,3,2,3,2
7,10,0.30417495,0.492307692,0.084745763,0.25,0.205882353,0.564356436,0.209876543,0.657894737,0.267326733,0.703703704,0.262295082,0.518518519,0.233192005,0.78210484,0.034987614,0.861531112,0.21167368,0.742424242,0.674033149,0.400026001,0.323084192,0.410262564,0.363633792,0.657809651,0.56424581,0.268693324,0.933224223,0.062215627,1,0.427745665,0.452391702,0.666666667,0.492063492,0.449275362,0.577956989,0.505847953,0.733165195,0.324590164,0,0,0,0,1,3,4,1,1,0,3,3,1,1,1,3,3,3,1,3,1,3,1,1,3,2,1,2
12,11,0.246520875,0.384615385,0.423728814,0.548076923,0.117647059,0.366336634,0.074074074,0.359649123,0.415841584,0.824074074,0.204918033,0.425925926,0.465778316,0.58513223,0.199538738,1,0.376774807,0.454545455,0.628453039,0,0.184204539,0.857149714,0.352546879,0.715011547,0.251396648,0,0.77273515,0.311106133,0.375,0.115606936,0.179995226,0.533333333,0.53968254,0.15942029,0.166666667,0.195906433,0.687782805,0.247058823,0.233193277,0,0,0,0.375,1,3,0,1,1,3,1,1,4,4,3,2,4,4,3,3,3,3,3,4,2,3,2
11,12,0.226640159,0.246153846,0.084745763,0.192307692,0.279411765,0.623762376,0.061728395,0.359649123,1,1,1,1,0.449121744,0.821520337,0.09365337,0,0.231790417,1,0.595303867,0,0.159092102,0,0.123653025,0,0.368715084,0.558044736,0.79108501,0.053843677,1,0.283236994,0.214334135,0.533333333,0.80952381,0.217391304,0.432795699,0.304093567,0.627553238,0.640677965,0.444327731,0,0,0,1,4,4,1,1,1,3,1,1,1,2,3,1,3,3,3,1,1,1,3,1,2,3,3
14,13,0.182902584,0.246153846,0.101694915,0.221153846,0.088235294,0.415841584,0.061728395,0.438596491,0.158415842,0.583333333,0.352459016,0.666666667,0.370684434,1,0.041171948,1,0.298588299,0.696969697,0.599447514,0,0.262499344,0.369221908,0.290409254,0.743418014,0.569832402,0.381345539,0.831269857,0,0.75,0.352601156,0.333659074,0.433333333,0.682539683,0.333333333,0.494623656,0.467836257,0.576223777,0.577033493,0.06197479,0,0.118,0,0.75,3,4,1,1,1,3,3,3,1,4,3,4,1,1,3,1,3,1,3,3,2,1,3
17,13,0.182902584,0.230769231,0.06779661,0.259615385,0.102941176,0.366336634,0.12345679,0.447368421,0.643564356,0.87037037,0.827868852,0.944444444,0.412477286,0.604009718,0.123772102,0.851644928,0.386819601,0.393939394,0.540055249,0.382345294,0.154419614,0.392742284,0.214780666,0.441424578,0.659217877,0.323862164,0.947299509,0.3499979,0.625,0.184971098,0.200529053,0.3,0.698412698,0.18115942,0.403225806,0.394736842,0.334905296,0.153768845,0.337184874,0.437828371,0.286,0,0.625,5,4,0,1,1,3,1,1,1,1,3,4,3,4,1,4,1,1,1,3,3,3,3
16,15,0.166998012,0.276923077,0.118644068,0.269230769,0.147058824,0.485148515,0.098765432,0.5,0.108910891,0.472222222,0.196721311,0.453703704,0.443064809,0.765464683,0.017989237,1,0.274765848,0.272727273,0.639502762,0.300182007,0.278984303,0.3000048,0.34188421,0.869770269,0.586592179,0.024682615,0.864272649,0,0.75,0.312138728,0.398615388,0.9,0.206349206,0.398550725,0.521505376,0.684210526,0.745518702,0.322018349,0.170168067,0,0,1,0.75,5,4,1,0,1,3,3,1,1,4,1,4,3,3,3,3,3,3,3,3,3,1,1
21,16,0.115308151,0.2,0.13559322,0.230769231,0.044117647,0.158415842,0.061728395,0.333333333,0.089108911,0.416666667,0.745901639,0.916666667,0.525741975,0.699987765,0.112086786,1,0.403094883,0.818181818,0.725138122,0.361154446,0.13999965,0.26184419,0.212461464,0.597277258,0.324022346,0.418723551,1,0.6999958,0.875,0.289017341,0.198010021,0.4,0.507936508,0.260869565,0.204301075,0.195906433,0,0.016666666,0.525210084,0.875656743,0,0,0.875,1,3,1,1,1,3,1,1,3,4,3,3,3,2,3,3,1,1,1,3,3,1,3
38,17,0.093439364,0.107692308,0.762711864,0.778846154,0.647058824,0.811881188,0.407407407,0.745614035,0.079207921,0.5,0.540983607,0.824074074,0.340399758,0.347031165,0.024942342,1,0.205280304,0.454545455,0.788674033,0.812532501,0.102934743,0.411414583,0.19684928,0.670086301,0.12849162,0.392555488,0.352748628,0,0,0.034682081,0.041449279,1,0.507936508,0.02173913,0.102150538,0.14619883,0.629585798,0.276923077,-1,-1,-1,-1,0,3,3,1,1,1,2,2,1,-1,-1,3,-1,-1,-1,3,-1,-1,1,1,3,2,-1,2
19,18,0.089463221,0.246153846,0.237288136,0.394230769,0.147058824,0.514851485,0.172839506,0.605263158,0.059405941,0.37037037,0.270491803,0.518518519,0.354936402,0.613326109,0.04576749,1,0.288299172,0.606060606,0.849447514,0.342173687,0.262499344,0.4500072,0.202025059,0.868226571,0.245810056,0.3939373,0.458823529,0.17499895,1,0.23699422,0.205281777,0.666666667,0.634920635,0.217391304,0.231182796,0.33625731,0.584615385,0.486,0.218487395,0.073555166,0,0,1,2,4,1,1,1,3,3,3,1,1,3,1,1,1,3,3,3,3,3,3,3,3,3
20,19,0.087475149,0.2,0.152542373,0.317307692,0.044117647,0.257425743,0.024691358,0.157894737,0.148514851,0.638888889,0.868852459,0.981481481,0.427922471,0.885109507,0.349978645,1,0.351350618,0.606060606,0.540055249,0,0.218749453,0,0.269366745,0.465941412,0.094972067,0.310026773,0.878771541,0.2333366,0.75,0.132947977,0.075458443,0.133333333,-1,0.130434783,0.053763441,0.038011696,0.239842209,0,0.175420168,0.292469352,0.667,0,0.75,1,2,1,0,1,3,1,3,1,4,3,3,1,4,3,3,3,1,1,1,3,3,3
27,20,0.083499006,0.169230769,0.86440678,0.817307692,0.867647059,0.920792079,0.530864198,0.842105263,0.306930693,0.75,0.12295082,0.314814815,0.127195639,0.491164287,0.024805672,0.925832849,0.062793539,0.808090909,0.70718232,0.634165367,0.111702221,0.165506648,0.542268858,0.895636319,0.229050279,0,0.187696159,0.1333352,0.875,0.179190751,0.220375844,0.233333333,0.888888889,0.239130435,0.25,0.143274854,0.351904406,0.646601941,0.050420168,0,0,0,0.875,1,4,1,0,1,3,1,1,4,1,3,1,2,1,3,2,3,1,1,1,2,1,3
24,20,0.083499006,0.138461538,0.254237288,0.413461538,0.161764706,0.485148515,0.074074074,0.342105263,0.217821782,0.657407407,0.639344262,0.87962963,0.235614779,0.579713691,0.367677458,1,0.26206054,0.403030303,0.473756906,0,0.16406209,0.177794845,0.211867523,0.741169321,0.217877095,0.052336126,0.915471262,0.13999916,0.875,0.098265896,0.129156879,0.3,0.873015873,0.130434783,0.112903226,0.108187135,0.577571826,0.563855421,0,0,0,0,0.875,1,3,1,1,1,3,1,3,1,4,3,3,3,1,3,3,3,3,3,3,3,3,3
29,22,0.077534791,0.092307692,0.338983051,0.432692308,0.426470588,0.653465347,0.209876543,0.535087719,0.237623762,0.666666667,0.336065574,0.685185185,0.353422168,0.442729545,0.131357308,1,0.135577576,0.909090909,0.720994475,0.722308892,0.201914495,0,0.606046893,0.468834326,0.111731844,0.178685551,0.390006739,0.0666676,1,0.075144509,0.074269207,0.6,0.619047619,0.086956522,0.080645161,0.087719298,0,0.583098591,1,-1,-1,-1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,3,3,3,1,1,1,3,1,3
