CID,CSRankingAI,Average Count,Faculty,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support& Outcomes:5thPercentile,Student Support& Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall 2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
28,23,0.065606362,0.215384615,0.305084746,0.423076923,0.382352941,0.673267327,0.172839506,0.578947368,0.297029703,0.759259259,0.532786885,0.851851852,0.321926105,0.719861565,0.044725378,0.515390047,0.468413194,0.696969697,0.61878453,0,0.142852143,0.189459031,0.324518483,0.685340951,0.502793296,0,0.559314528,0.09333744,0.75,0.190751445,0.228530722,0.6,0.603174603,0.253623188,0.397849462,0.409356725,0.378764897,0.24084507,0.034663866,0,0.133,0.441798942,0.75,2,4,1,0,1,3,1,3,3,4,3,4,2,3,3,2,3,3,3,3,3,3,2
47,24,0.06361829,0.076923077,0.169491525,0.307692308,0.117647059,0.455445545,0.111111111,0.51754386,0.00990099,0.111111111,0.56557377,0.851851852,0.439127801,0.640418801,0.053318527,1,0.560513099,0.606060606,0.921270718,0.928627145,0.116672208,0.48000768,0,0.83928528,0.173184358,0.107954055,0.730932897,0.127273236,0.75,0,0.018014788,0.433333333,0.857142857,0.007246377,0.005376344,0.032163743,0.612454213,0.685714285,0,0,0,0,0.75,1,2,1,1,1,2,3,1,1,1,1,2,4,4,3,1,2,3,3,3,2,1,2
35,24,0.06361829,0.092307692,0.254237288,0.317307692,0.102941176,0.336633663,0.037037037,0.210526316,0.396039604,0.759259259,0.221311475,0.546296296,0.537250151,0.637884323,0.263876313,1,0.273571332,0.575757576,0.357734807,0,0.120697198,0.15998656,0.650960206,0.636696244,0.162011173,0.304810433,1,0,0.875,0.104046243,0.086161836,0.4,0.365079365,0.101449275,0.061827957,0.067251462,0.546898262,0.203225807,0,0,1,0,0.875,3,2,1,1,1,3,1,3,1,1,3,3,3,3,1,4,1,1,1,1,2,3,3
18,26,0.059642147,0.230769231,1,0.932692308,0.808823529,0.98019802,0.24691358,0.728070175,0.762376238,0.962962963,0.459016393,0.759259259,0.122047244,0.895509605,0,1,0.166485679,0.448484848,0,0,0.32812418,0.266692267,0.145317759,0.817709979,0.061452514,0.1919164,0.950495812,0,0.875,0.011560694,0.028319861,0,0.634920635,0.014492754,0.045698925,0.070175439,0.501098902,0.45,0,0,0,0.611111111,0.875,1,2,1,1,1,3,1,1,2,1,3,1,1,4,3,1,3,1,3,1,2,3,3
8,26,0.059642147,0.230769231,0.118644068,0.240384615,0.088235294,0.356435644,0.074074074,0.377192982,0.089108911,0.462962963,0.647540984,0.87962963,0.453664446,0.810316198,0.080071752,0.937069037,0.329930772,0.606060606,0.752762431,0.265340614,0.148312129,0.290932655,0.279378907,0.57542239,0.318435754,0.267605147,0.941965919,0.151353092,1,0.317919075,0.332195171,0.5,0.666666667,0.333333333,0.397849462,0.359649123,0.629585798,0.193846154,0.425420168,0,0,0.142857143,1,5,4,1,1,1,3,1,3,1,1,3,3,1,1,3,1,3,3,3,3,3,3,3
26,28,0.049701789,0.061538462,0.474576271,0.528846154,0.205882353,0.554455446,0.160493827,0.578947368,0.277227723,0.666666667,0.278688525,0.555555556,0.335857056,0.750187901,0.010814043,0.799015535,0.50234831,0.065151515,0.741712707,0.361154446,0.184204539,0.63999424,0.419803716,0.568968032,0.217877095,0.300388635,0.434235102,0.087499475,1,0.173410405,0.129746394,0.466666667,0.777777778,0.173913043,0.271505376,0.368421053,0.458338461,0.3168,0,0.11033275,0.063,0,1,5,4,0,0,1,3,3,1,1,1,3,1,1,1,3,1,3,3,3,3,3,3,3
48,29,0.045725646,0.046153846,0.406779661,0.557692308,0.279411765,0.623762376,0.197530864,0.675438596,0.207920792,0.592592593,0.180327869,0.37962963,0.27195639,0.720473336,0,0.785141647,0.38762047,0.303030303,0.552486188,0.44825793,0.184204539,0.411414583,0.367423707,0.856569831,0.290502793,0.387753692,0.752844902,0.17499895,1,0.190751445,0.182671442,-1,-1,0.173913043,0.293010753,0.368421053,0.608,0.3888,0,0.218914186,0,0.111111111,1,5,4,1,0,1,3,1,3,1,1,3,1,3,3,3,3,3,1,3,3,3,1,3
40,30,0.041749503,0.123076923,0.355932203,0.432692308,0.411764706,0.663366337,0.333333333,0.666666667,0.257425743,0.666666667,0.155737705,0.342592593,0.264082374,0.591424726,0.024651918,0.948076763,0.1836297,0.515151515,0.578729282,0.245319813,0.452583869,0.2250276,0.475181718,0.707621247,0.335195531,0.275360567,0.75554058,0.10499937,0.75,0.306358382,0.328611198,0.633333333,0.761904762,0.31884058,0.465053763,0.476608187,0.444637053,0.304225353,0.262605042,0,0.025,0,0.75,5,4,1,1,1,2,1,3,1,4,3,1,4,2,1,1,3,3,3,3,3,3,3
51,31,0.039761431,0.092307692,0.627118644,0.692307692,0.294117647,0.633663366,0.222222222,0.710526316,0.574257426,0.87037037,0.557377049,0.833333333,0.157480315,0.892241003,0.014128299,0.884605799,0.364829646,0.293939394,0.552486188,0,0.13999965,0.411414583,0.340385214,0.566123739,0.106145251,0.863632438,0.807451622,0,0.75,0.196531792,0.102020278,0.6,0.619047619,0.079710145,0.088709677,0.149122807,1,0,-1,-1,-1,-1,0.75,2,3,0,1,1,2,1,1,1,4,3,2,1,4,3,1,3,1,1,2,2,3,2
42,32,0.03777336,0.138461538,0.779661017,0.788461538,0.735294118,0.940594059,0.320987654,0.728070175,0.366336634,0.759259259,0.450819672,0.740740741,0.038461538,0.87012987,0.045203724,0.480767633,0.46896973,0.399878788,0.506906077,0.684217369,0.325586686,0.342869486,0.455723053,0.325075969,0.195530726,0.179929182,0.251198614,0,0.625,0.184971098,0.212017277,0.633333333,0.428571429,0.210144928,0.123655914,0.160818713,0.562962962,0.133333333,0.066176471,0,0.375,0,0.625,5,3,1,0,1,3,1,1,4,4,3,3,2,4,3,1,1,3,1,3,3,3,3
55,33,0.031809145,0.076923077,0.949152542,0.961538462,0.705882353,0.851485149,0.444444444,0.780701754,0.316831683,0.722222222,0.37704918,0.657407407,0.106299213,0.45629337,0.134039464,0.877835009,0.181389982,0.303030303,0.54281768,0,0.159092102,0.564729036,0.321746755,0.690288076,0.162011173,1,0,0,0.375,0.23699422,0.1062966,0.4,0.761904762,0.057971014,0.110215054,0.17251462,0.41081081,0.802702702,0,0,0,0,0.375,1,3,1,1,0,3,1,1,1,4,2,4,1,4,1,4,1,1,1,4,3,1,2
30,33,0.031809145,0.184615385,0.813559322,0.826923077,0.367647059,0.712871287,0.259259259,0.798245614,0.128712871,0.62962963,0.336065574,0.657407407,0,0.952753841,0.054360639,1,0.225953577,0.303030303,0.592541436,1,0,0.92310277,0.387193484,0.455816215,0.055865922,0.675878746,0.75128526,0,0.625,0.040462428,0.031726165,0.666666667,0.603174603,0,0.021505376,0.035087719,0,0.4125,0.933823529,0,0,0,0.625,2,2,1,1,1,3,3,1,1,4,3,3,1,1,3,1,3,-1,-1,3,3,3,3
22,33,0.031809145,0.169230769,0.06779661,0.144230769,0.029411765,0.138613861,0.024691358,0.140350877,0.059405941,0.314814815,0.401639344,0.722222222,0.771653543,0.714687735,0.1396942,1,0.502606217,0.303030303,0.604972376,0.520020801,0.241376897,0,0.29555675,0.787832746,0.268156425,0.254011573,0.864869548,0.2000028,1,0.104046243,0.112745103,0.5,0.825396825,0.108695652,0.182795699,0.19005848,0.519658119,0.183333333,0.050420168,0,0.619,0,1,5,3,1,1,1,3,1,3,3,1,3,1,3,1,3,1,1,1,1,3,2,3,1
23,36,0.029821074,0.230769231,0.050847458,0.115384615,0.029411765,0.069306931,0.024691358,0.070175439,0.079207921,0.388888889,0.532786885,0.824074074,0.377952756,0.647288109,0.638780217,1,0.510356997,0.484848485,0.582872928,0,0.250004375,0.35122162,0.336708431,0.535407804,0.279329609,0.261715174,0.931799365,0.329404024,0.625,0.098265896,0.112058854,0.3,0.825396825,0.101449275,0.11827957,0.143274854,0.431501831,0.214285714,0.803571429,0,0,0,0.625,1,3,1,1,1,3,1,3,4,4,3,2,1,4,3,3,3,1,1,3,3,1,3
37,37,0.027833002,0.107692308,0.542372881,0.538461538,0.647058824,0.811881188,0.444444444,0.807017544,0.069306931,0.314814815,0.754098361,0.935185185,0.133555421,0.607260841,0.008353976,0.792307053,0.321623456,0.757575758,1,0.722308892,0.131249672,0,0.260797013,0.583918804,0.122905028,0,0.545720612,0,0.875,0.138728324,0.188162947,0.9,0.444444444,0.188405797,0.188172043,0.114035088,0.637762237,0.212727272,0,0,0.32,0,0.875,5,3,1,0,1,3,2,1,1,1,3,3,2,1,3,1,-1,3,3,3,2,3,3
15,37,0.027833002,0.138461538,0.152542373,0.240384615,0.132352941,0.485148515,0.061728395,0.359649123,0.455445545,0.787037037,0.696721311,0.907407407,0.350999394,0.768541015,0.19383275,0.901096619,0.171996742,0.703030303,0.483425414,0.419396776,0.243056892,0.272740364,0.275475861,0.457785341,0.301675978,0.458260644,0.864349668,0.073681558,0.875,0.190751445,0.185297777,0.466666667,-1,0.15942029,0.306451613,0.383040936,0.621409359,0.276923077,0,0.092819615,0,0.277777778,0.875,2,4,1,1,1,3,1,3,3,4,3,1,1,3,3,1,1,3,3,3,2,3,3
39,39,0.02584493,0.061538462,0.610169492,0.673076923,0.397058824,0.643564356,0.271604938,0.605263158,0.356435644,0.833333333,0.278688525,0.648148148,0.366444579,0.263777945,0.157358845,1,0.176829103,0.56969697,0.828729282,0,0.166669583,0,0.529428402,0.733499453,0.05027933,0.150202954,0.60063541,0.155553067,0.625,0.040462428,0.0380906,0.366666667,0.80952381,0.050724638,0.048387097,0,0.467692308,0.719999999,0,0.194395797,0,0,0.625,2,2,0,1,1,3,1,1,1,1,1,1,3,-1,3,-1,1,1,-1,2,2,1,2
32,40,0.019880716,0.2,0.474576271,0.557692308,0.529411765,0.722772277,0.592592593,0.859649123,0.138613861,0.527777778,0.081967213,0.175925926,0.033010297,0.597087973,0.039412317,1,0.430378716,0.606060606,0.522099448,0.838793552,0.262499344,0.744827917,0.428373448,0.776163851,0.25698324,0.863632438,0.51092712,0.077783533,0.875,0.369942197,0.230706353,-1,-1,0.188405797,0.338709677,0.321637427,0.403763143,0.517985611,0.116596639,0,0,0,0.875,4,4,1,0,1,3,3,1,2,4,3,3,1,1,3,1,3,3,3,1,2,1,3
50,41,0.015904573,0.153846154,0.610169492,0.653846154,0.514705882,0.722772277,0.518518519,0.842105263,0.237623762,0.648148148,0.139344262,0.324074074,0.056632344,0.579468983,0.045528316,0.653838166,0.245825981,0.303030303,0.723756906,0.722308892,0.159092102,0.423558777,0.458777611,0.806551598,0.145251397,0.996493652,0.614903244,0,0.75,0.50867052,0.296404358,0.4,0.682539683,0.217391304,0.180107527,0.32748538,0.558041958,0.593181819,0,0,0,0.097883598,0.75,3,3,1,0,1,3,1,1,1,1,3,4,1,4,3,3,3,1,1,3,3,1,3
34,42,0.013916501,0.107692308,0.559322034,0.576923077,0.985294118,0.95049505,1,1,0.267326733,0.657407407,0.196721311,0.444444444,0.084797093,0,0.050773042,0.370628063,0.296226415,0.515151515,0.921270718,0.928627145,0.291671771,0.097969568,0.406850129,0.778959524,0.134078212,0.767665602,0.321016655,0.042419745,0.75,0.219653179,0.133008617,0.466666667,0.746031746,0.115942029,0.279569892,0.277777778,0.276068376,0.525,0,0,0,0,0.75,2,4,1,0,1,3,1,1,1,1,3,1,4,4,3,1,3,1,3,2,3,3,3
25,43,0.011928429,0.184615385,0.355932203,0.471153846,0.5,0.722772277,0.148148148,0.51754386,0.851485149,0.916666667,0.245901639,0.601851852,0.400666263,0.574889444,0.084684377,0.307697101,0,0.606060606,0.716850829,0,0.189192027,0,0.351754957,0.974133949,0.206703911,0,0.96266487,0,1,0.098265896,0.151863569,0.6,0.73015873,0.137681159,0.27688172,0.364766082,0.619517795,0.483582088,0.349789916,0,0,0,1,2,4,1,0,1,3,1,1,1,1,3,1,1,1,3,1,1,1,1,3,3,1,3
52,43,0.011928429,0.015384615,0.525423729,0.567307692,0.220588235,0.613861386,0.160493827,0.570175439,0.128712871,0.583333333,0,0,0.30466384,0.717799025,0.041137781,1,0.090213113,0.696969697,0.839779006,0.722308892,0.250004375,0.872749964,0.529428402,0.984976298,0.027932961,0.476483289,0.280812554,0,1,0.075144509,0.075120065,0.933333333,0.619047619,0.050724638,0.048387097,0.070175439,0.021652422,1,0.087184874,0,0,0,1,1,2,1,1,1,3,1,3,1,3,3,1,3,3,3,1,3,1,1,3,3,3,3
33,45,0.009940358,0.184615385,0.271186441,0.346153846,0.102941176,0.425742574,0.086419753,0.535087719,0.108910891,0.481481481,0.049180328,0.12962963,0.408843125,0.780776424,0.035670966,0.950548309,0.228994163,0.515151515,0.774861878,0,0.304341739,0.6000096,0.439856323,1,0.284916201,0.403022714,0.913680562,0,0.75,0.080924855,0.088318277,0.566666667,0.682539683,0.065217391,0.271505376,0.350877193,0.597232983,0.323741007,0,0,0.071,0.62962963,0.75,1,4,1,1,1,3,3,3,3,1,3,4,3,1,3,4,3,3,3,3,3,1,3
31,45,0.009940358,0.123076923,0.288135593,0.471153846,0.191176471,0.504950495,0.135802469,0.526315789,0.475247525,0.805555556,0.016393443,0.064814815,0.417928528,0.580185629,0.062697531,0.505483094,0.425383467,0.121212121,0.38121547,0,0.208336979,1,0.450660407,0.994505895,0.312849162,0.902893169,0.80123231,0.027453835,1,0.416184971,0.205640408,0.4,0.682539683,0.202898551,0.27688172,0.476608187,0.381789639,0.385714285,0.040966387,0,0.176,0.518518519,1,1,4,1,0,1,2,1,1,1,1,3,3,1,1,3,1,1,1,3,3,3,1,3
41,47,0.003976143,0.046153846,0.830508475,0.884615385,0.176470588,0.534653465,0.160493827,0.622807018,0.227722772,0.731481481,0.491803279,0.842592593,0.341913992,0.744175071,0,1,0.214347767,0.984848485,0.654696133,0,0.102934743,0,0.312215403,0.817709979,0.067039106,0.181811901,0.663040339,1,0.875,0.01734104,0.030991549,0.333333333,0.746031746,0.02173913,0.040322581,0.090643275,0,0.266666666,0.150210084,1,0,0,0.875,1,2,1,1,1,3,3,3,1,4,3,2,3,2,3,1,2,3,2,3,2,2,2
53,48,0.001988072,0,0.254237288,0.836538462,0.397058824,0.653465347,0.666666667,0.929824561,0,0,0.016393443,0.185185185,0.038158692,0.528307493,0,1,1,0,0.613259669,0,1,0.24000384,1,0,0,0.304810433,0.6035814,0.17499895,1,0.005780347,0,0.2,0.317460317,0,0,0.014619883,0.389743589,0.507692307,0,0,0.125,0,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,3,1,3,1,1,3,2,1,3
54,48,0.001988072,0.030769231,0.983050847,1,1,1,0.901234568,0.98245614,0.584158416,0.87962963,0.155737705,0.333333333,0.004542701,0.301952422,0.008593149,1,0.627066649,0.2,0.165745856,0.342173687,0.138162155,0.564729036,0.41281783,0.858782059,0.240223464,0.387753692,0.748011938,0.036847779,0.75,0.190751445,0.208753439,0.7,0.571428571,0.173913043,0.387096774,0.67251462,0.298662208,0.322826087,0,0,0,0.14021164,0.75,3,4,0,1,1,3,1,1,1,4,1,1,1,4,2,2,2,1,1,1,2,1,3
43,50,0,0.123076923,0.06779661,0.144230769,0.088235294,0.405940594,0.061728395,0.359649123,0.178217822,0.657407407,0.803278689,0.935185185,0.191096305,0.841708762,0.308037926,1,0.169173341,0.757575758,0.690607735,0.5,0.269236827,0.221523544,0.130723761,0.541363802,0.301675978,0.394800933,0.891056128,0,1,0.10982659,0.110232885,0,0.841269841,0.094202899,0.212365591,0.269005848,0.862059974,0.137288135,0.031512605,0,0,0,1,3,4,1,1,1,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3
36,50,0,0.061538462,0.355932203,0.403846154,0.088235294,0.366336634,0.061728395,0.394736842,0.188118812,0.675925926,0.62295082,0.87037037,0.329497274,0.913478177,0.135389083,1,0.365467626,0.606060606,0.921270718,0,0.194442014,0.711131378,0.04392341,0.704643248,0.055865922,0.172726488,1,0.17499895,0.625,0.080924855,0.073873784,0.566666667,0,0.094202899,0.077956989,0.032163743,0.93199554,0,0.919117647,0,0,0,0.625,4,2,0,1,1,3,1,4,1,1,4,2,2,3,3,4,3,1,1,1,2,1,3
