CID,CSRankingOtherAreas,Average Count,Facult,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support & Outcomes:5thPercentile,Student Support & Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
1,0,1,1,0.033898305,0.076923077,0.029411765,0.089108911,0.074074074,0.377192982,0.059405941,0.324074074,0.467213115,0.787037037,0.33827983,0.866599081,0.132450671,0.925832849,0.559305009,0.696969697,0.685082873,0.096333853,0.340601648,0.097441559,0.381789137,0.539893035,1,0.374514568,0.795576836,0.81325,0.875,1,1,0.233333333,0.253968254,1,1,1,0.43486169,0.004433497,0.037815126,0.808571429,0,0,0.875,1,4,1,1,0,3,1,1,2,1,3,3,2,4,3,1,3,3,3,3,2,3,3
7,0.020833333,0.415254237,0.53125,0.084745763,0.25,0.205882353,0.564356436,0.209876543,0.657894737,0.267326733,0.703703704,0.262295082,0.518518519,0.233192005,0.78210484,0.034987614,0.861531112,0.21167368,0.742424242,0.674033149,0.400026001,0.323084192,0.410262564,0.334398296,0.657809651,0.56424581,0.297591491,0.917794581,0.05555,1,0.424418605,0.471104485,0.666666667,0.492063492,0.460992908,0.584656085,0.517142857,0.733165195,0.324590164,0,0,0,0,1,3,4,1,1,0,3,3,1,1,1,3,3,3,1,3,1,3,1,1,3,2,1,2
2,0.041666667,0.410411622,0.296875,0.033898305,0.028846154,0.029411765,0.069306931,0.024691358,0.078947368,0.04950495,0.324074074,0.62295082,0.861111111,0.443670503,0.888063484,0.47556163,1,0.649287363,0.636363636,0.559392265,0.188377535,0.303326742,0.292708683,0.334398296,0.412410356,0.815642458,0,0.333775808,0.164475,0.875,0.337209302,0.375446648,0.1,0.53968254,0.453900709,0.650793651,0.397142857,0.706585501,0.187769784,0.276260504,0.188571429,0,0,0.875,1,4,1,1,1,3,1,3,1,4,3,3,2,3,3,1,3,3,3,3,2,3,2
3,0.0625,0.376513317,0.375,0,0,0,0,0,0,0.425742574,0.787037037,0.950819672,0.990740741,1,0.837321494,0.812214914,0.870191908,0.624664042,0.393939394,0.508287293,0.46424857,0.125002187,0.167426679,0.08084842,0.454065881,0.670391061,0.127541943,1,0.2734375,0.375,0.162790698,0.157687408,0.466666667,0.666666667,0.219858156,0.373015873,0.362857143,0.463660477,0.206896552,0.426470588,0.222857143,0,0.828042328,0.375,5,4,0,1,1,2,1,1,4,4,3,4,2,4,2,4,1,1,1,3,2,3,3
6,0.083333333,0.35472155,0.40625,0.220338983,0.307692308,0.205882353,0.554455446,0.172839506,0.596491228,0.227722772,0.666666667,0.491803279,0.824074074,0.27195639,0.774623761,0.04504997,1,0.205986154,0.681818182,0.611878453,0.224128965,0.197189507,0.112945807,0.468346941,0.48162149,0.424581006,0.420446502,0.904615166,0.0925875,1,0.430232558,0.403864069,0.133333333,0.650793651,0.425531915,0.330687831,0.277142857,0.635622096,0.446979866,0.077731092,0.052857143,0.222,0,1,5,4,1,1,1,3,3,1,1,3,3,3,3,3,3,2,3,1,1,1,2,3,3
5,0.104166667,0.181598063,0.1875,0.033898305,0.153846154,0.102941176,0.415841584,0.098765432,0.473684211,0.217821782,0.648148148,0.467213115,0.777777778,0.454875833,0.650591669,0.063261297,0.950548309,0.356142256,0.657575758,0.51519337,0.333333333,0.218749453,0.129746076,0.197166016,0.797799927,0.82122905,0.498345226,0.333775808,0.1,1,0.593023256,0.496360684,0.6,0.587301587,0.546099291,0.788359788,0.854285714,0.703670797,0.339209726,0.210084034,0.114285714,0,0,1,2,4,1,1,1,2,1,3,1,1,3,2,2,2,2,2,2,3,3,3,2,3,3
4,0.125,0.180387409,0.25,0,0,0,0,0,0,0.277227723,0.675925926,0.901639344,0.981481481,0.604482132,0.782227194,1,0.925832849,0.278281526,0.696969697,0.559392265,0.302392096,0.122097195,0.410262564,0.097207431,0.442518537,0.631284916,0.564497924,0.749946666,0.0446375,1,0.255813953,0.248241891,0.066666667,1,0.226950355,0.484126984,0.42,0.759730592,0,0.713235294,0,0.143,0,1,5,4,1,1,1,3,1,3,3,1,3,1,3,1,3,1,3,3,3,1,3,3,3
32,0.145833333,0.173123487,0.25,0.474576271,0.557692308,0.529411765,0.722772277,0.592592593,0.859649123,0.138613861,0.527777778,0.081967213,0.175925926,0.033010297,0.597087973,0.039412317,1,0.430378716,0.606060606,0.522099448,0.838793552,0.262499344,0.744827917,0.402112176,0.776163851,0.25698324,0.956516749,0.39791879,0.06945,0.875,0.36627907,0.256994531,-1,-1,0.205673759,0.349206349,0.337142857,0.403763143,0.517985611,0.116596639,0,0,0,0.875,4,4,1,0,1,3,3,1,2,4,3,3,1,1,3,1,3,3,3,1,2,1,3
28,0.166666667,0.162227603,0.265625,0.305084746,0.423076923,0.382352941,0.673267327,0.172839506,0.578947368,0.297029703,0.759259259,0.532786885,0.851851852,0.321926105,0.719861565,0.044725378,0.515390047,0.468413194,0.696969697,0.61878453,0,0.142852143,0.189459031,0.293485978,0.685340951,0.502793296,0,0.457486904,0.0833375,0.75,0.186046512,0.254893246,0.6,0.603174603,0.269503546,0.407407407,0.422857143,0.378764897,0.24084507,0.034663866,0,0.133,0.441798942,0.75,2,4,1,0,1,3,1,3,3,4,3,4,2,3,3,2,3,3,3,3,3,3,2
8,0.1875,0.159806295,0.140625,0.118644068,0.240384615,0.088235294,0.356435644,0.074074074,0.377192982,0.089108911,0.462962963,0.647540984,0.87962963,0.453664446,0.810316198,0.080071752,0.937069037,0.329930772,0.606060606,0.752762431,0.265340614,0.148312129,0.290932655,0.24627263,0.57542239,0.318435754,0.29638628,0.92855619,0.1351375,1,0.313953488,0.35501529,0.5,0.666666667,0.34751773,0.407407407,0.374285714,0.629585798,0.193846154,0.425420168,0,0,0.142857143,1,5,4,1,1,1,3,1,3,1,1,3,3,1,1,3,1,3,3,3,3,3,3,3
12,0.208333333,0.12590799,0.15625,0.423728814,0.548076923,0.117647059,0.366336634,0.074074074,0.359649123,0.415841584,0.824074074,0.204918033,0.425925926,0.465778316,0.58513223,0.199538738,1,0.376774807,0.454545455,0.628453039,0,0.184204539,0.857149714,0.322802035,0.715011547,0.251396648,0,0.720221869,0.277775,0.375,0.110465116,0.208016297,0.533333333,0.53968254,0.177304965,0.17989418,0.214285714,0.687782805,0.247058823,0.233193277,0,0,0,0.375,1,3,0,1,1,3,1,1,4,4,3,2,4,4,3,3,3,3,3,4,2,3,2
9,0.229166667,0.119854722,0.171875,0.06779661,0.144230769,0.058823529,0.247524752,0.049382716,0.298245614,0.02970297,0.222222222,0.606557377,0.898148148,0.231677771,0.708692384,0.432083369,1,0.684674902,0.606060606,0.653314917,0,0.218749453,0,0.168559934,0.784818281,0.284916201,0.11252463,1,0,0.875,0.197674419,0.213700468,0.7,0.53968254,0.262411348,0.259259259,0.251428571,0.655477856,0.272727273,0.429621849,0,0.455,0,0.875,1,4,1,1,1,3,1,1,1,1,3,3,2,4,3,1,1,1,1,3,2,1,3
16,0.25,0.070217918,0.25,0.118644068,0.269230769,0.147058824,0.485148515,0.098765432,0.5,0.108910891,0.472222222,0.196721311,0.453703704,0.443064809,0.765464683,0.017989237,1,0.274765848,0.272727273,0.639502762,0.300182007,0.278984303,0.3000048,0.311649509,0.869770269,0.586592179,0.027337249,0.832910612,0,0.75,0.308139535,0.419165806,0.9,0.206349206,0.411347518,0.529100529,0.691428571,0.745518702,0.322018349,0.170168067,0,0,1,0.75,5,4,1,0,1,3,3,1,1,4,1,4,3,3,3,3,3,3,3,3,3,1,1
20,0.270833333,0.069007264,0.15625,0.152542373,0.317307692,0.044117647,0.257425743,0.024691358,0.157894737,0.148514851,0.638888889,0.868852459,0.981481481,0.427922471,0.885109507,0.349978645,1,0.351350618,0.606060606,0.540055249,0,0.218749453,0,0.235800497,0.465941412,0.094972067,0.343370382,0.850759713,0.2083375,0.75,0.127906977,0.107051728,0.133333333,-1,0.14893617,0.068783069,0.06,0.239842209,0,0.175420168,0.238571429,0.667,0,0.75,1,2,1,0,1,3,1,3,1,4,3,3,1,4,3,3,3,1,1,1,3,3,3
43,0.291666667,0.065375303,0.15625,0.06779661,0.144230769,0.088235294,0.405940594,0.061728395,0.359649123,0.178217822,0.657407407,0.803278689,0.935185185,0.191096305,0.841708762,0.308037926,1,0.169173341,0.757575758,0.690607735,0.5,0.269236827,0.221523544,0.090788072,0.541363802,0.301675978,0.437262066,0.865882855,0,1,0.104651163,0.140637864,0,0.841269841,0.113475177,0.224867725,0.285714286,0.862059974,0.137288135,0.031512605,0,0,0,1,3,4,1,1,1,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3
44,0.3125,0.061743341,0.109375,0.813559322,0.865384615,0.117647059,0.405940594,0.345679012,0.754385965,0.04950495,0.342592593,0.385245902,0.768518519,0.18322229,0.609463215,0.021969762,1,0.212501697,0.53030303,0.921270718,0,0.116672208,0,0.309223761,0.879299866,0.117318436,0.478258374,0.854125679,1,0.875,0.01744186,0.057567361,0.8,0.603174603,0.028368794,0.034391534,0.028571429,0,0,0.210084034,1,0,0,0.875,1,2,1,1,1,3,3,3,3,3,3,3,3,1,1,1,4,3,3,3,3,1,3
14,0.3125,0.061743341,0.203125,0.101694915,0.221153846,0.088235294,0.415841584,0.061728395,0.438596491,0.158415842,0.583333333,0.352459016,0.666666667,0.370684434,1,0.041171948,1,0.298588299,0.696969697,0.599447514,0,0.262499344,0.369221908,0.257809727,0.743418014,0.569832402,0.422359536,0.792281983,0,0.75,0.348837209,0.356429168,0.433333333,0.682539683,0.34751773,0.502645503,0.48,0.576223777,0.577033493,0.06197479,0,0.118,0,0.75,3,4,1,1,1,3,3,3,1,4,3,4,1,1,3,1,3,1,3,3,2,1,3
10,0.354166667,0.053268765,0.1875,0.118644068,0.240384615,0.161764706,0.465346535,0.111111111,0.447368421,0.653465347,0.861111111,0.385245902,0.685185185,0.499697153,0.686021919,0.03334757,0.516989283,0.267463011,0.696969697,0.511049724,0,0.12804718,0.446503144,0.430718258,0.58655646,0.446927374,0.706349358,1,0.0329,1,0.279069767,0.223904531,0.266666667,0.888888889,0.212765957,0.365079365,0.485714286,0.584615385,0.244444444,0.691176471,0,0,0,1,2,4,1,1,1,3,3,3,1,1,3,3,3,3,3,3,3,1,1,3,2,3,3
42,0.375,0.04842615,0.265625,0.779661017,0.788461538,0.735294118,0.940594059,0.320987654,0.728070175,0.366336634,0.759259259,0.450819672,0.740740741,0.038461538,0.87012987,0.045203724,0.480767633,0.46896973,0.399878788,0.506906077,0.684217369,0.325586686,0.342869486,0.430718258,0.325075969,0.195530726,0.199280699,0.078175741,0,0.625,0.180232558,0.238944096,0.633333333,0.428571429,0.226950355,0.137566138,0.18,0.562962962,0.133333333,0.066176471,0,0.375,0,0.625,5,3,1,0,1,3,1,1,4,4,3,3,2,4,3,1,1,3,1,3,3,3,3
13,0.395833333,0.03874092,0.140625,0.13559322,0.326923077,0.117647059,0.475247525,0.086419753,0.49122807,0.108910891,0.537037037,0.532786885,0.833333333,0.327983041,0.917306112,0.055368583,1,0.157553957,0.606060606,0.805248619,0,0.203489491,0.173474776,0.398059401,0.538519509,0.407821229,0.409943948,0.905184061,0,0.75,0.226744186,0.27864647,0.266666667,0.650793651,0.234042553,0.328042328,0.357142857,0.749920424,0.136551724,0,0,0.032,0.682539683,0.75,1,4,1,1,1,3,3,1,4,4,3,3,2,3,3,3,3,1,3,3,2,3,3
21,0.416666667,0.036319613,0.109375,0.13559322,0.230769231,0.044117647,0.158415842,0.061728395,0.333333333,0.089108911,0.416666667,0.745901639,0.916666667,0.525741975,0.699987765,0.112086786,1,0.403094883,0.818181818,0.725138122,0.361154446,0.13999965,0.26184419,0.176280914,0.597277258,0.324022346,0.46375758,1,0.625,0.875,0.284883721,0.225415493,0.4,0.507936508,0.276595745,0.216931217,0.214285714,0,0.016666666,0.525210084,0.714285714,0,0,0.875,1,3,1,1,1,3,1,1,3,4,3,3,3,2,3,3,1,1,1,3,3,1,3
18,0.4375,0.032687651,0.203125,1,0.932692308,0.808823529,0.98019802,0.24691358,0.728070175,0.762376238,0.962962963,0.459016393,0.759259259,0.122047244,0.895509605,0,1,0.166485679,0.448484848,0,0,0.32812418,0.266692267,0.106052538,0.817709979,0.061452514,0.212557152,0.939057055,0,0.875,0.005813953,0.061523958,0,0.634920635,0.035460993,0.060846561,0.091428571,0.501098902,0.45,0,0,0,0.611111111,0.875,1,2,1,1,1,3,1,1,2,1,3,1,1,4,3,1,3,1,3,1,2,3,3
