CID,CSRankingTheory,Average Count,Facult,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support & Outcomes:5thPercentile,Student Support & Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Fi-1cial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
3,1,1,0.636363636,0,0,0,0,0,0,0.42,0.760416667,0.950819672,0.990740741,1,0.837321494,0.812214914,0.870191908,0.912351308,0.351701783,0.473007712,0.46424857,0.276196737,0.167426679,0.186218283,0.454065881,0.66091954,0.115156749,1,0.2734375,0.375,0.167630058,0.157687408,0.466666667,0.666666667,0.219858156,0.373015873,0.362857143,0.497492163,0.206896552,0.426470588,0.222857143,0,0.828042328,0.375,5,4,0,1,1,2,1,1,4,4,3,4,2,4,2,4,1,1,1,3,2,3,3
11,2,0.955128205,0.636363636,0.084745763,0.2,0.28358209,0.636363636,0.061728395,0.359649123,1,1,1,1,0.449121744,0.821520337,0.09365337,0,0.338540841,1,0.553984576,0,0.351519604,0,0.189954814,0,0.350574713,0.558044736,0.79108501,0.048075,1,0.283236994,0.241181782,0.533333333,0.80952381,0.234042553,0.441798942,0.32,0.673343606,0.640677965,0.444327731,0,0,0,1,4,4,1,1,1,3,1,1,1,2,3,1,3,3,3,1,1,1,3,1,2,3,3
8,3,0.903846154,0.772727273,0.118644068,0.25,0.089552239,0.363636364,0.074074074,0.377192982,0.08,0.395833333,0.647540984,0.87962963,0.453664446,0.810316198,0.080071752,0.937069037,0.481879461,0.578606159,0.700514139,0.265340614,0.327700874,0.290932655,0.429179701,0.57542239,0.298850575,0.267605147,0.941965919,0.1351375,1,0.317919075,0.35501529,0.5,0.666666667,0.34751773,0.407407407,0.374285714,0.675524475,0.193846154,0.425420168,0,0,0.142857143,1,5,4,1,1,1,3,1,3,1,1,3,3,1,1,3,1,3,3,3,3,3,3,3
9,4,0.852564103,0.681818182,0.06779661,0.15,0.059701493,0.252525253,0.049382716,0.298245614,0.02,0.125,0.606557377,0.898148148,0.231677771,0.708692384,0.432083369,1,1,0.578606159,0.607969152,0,0.483334622,0,0.31504171,0.784818281,0.264367816,0.10159772,1,0,0.875,0.202312139,0.213700468,0.7,0.53968254,0.262411348,0.259259259,0.251428571,0.703305786,0.272727273,0.429621849,0,0.455,0,0.875,1,4,1,1,1,3,1,1,1,1,3,3,2,4,3,1,1,1,1,3,2,1,3
24,5,0.846153846,0.454545455,0.254237288,0.43,0.164179104,0.494949495,0.074074074,0.342105263,0.21,0.614583333,0.639344262,0.87962963,0.235614779,0.579713691,0.367677458,1,0.382751784,0.361426256,0.440874036,0,0.362500967,0.177794845,0.325469239,0.741169321,0.195402299,0.052336126,0.915471262,0.125,0.875,0.098265896,0.15891519,0.3,0.873015873,0.14893617,0.126984127,0.128571429,0.619715225,0.563855421,0,0,0,0,0.875,1,3,1,1,1,3,1,3,1,4,3,3,3,1,3,3,3,3,3,3,3,3,3
2,6,0.730769231,0.909090909,0.033898305,0.03,0.029850746,0.070707071,0.024691358,0.078947368,0.04,0.239583333,0.62295082,0.861111111,0.443670503,0.888063484,0.47556163,1,0.94831483,0.61102107,0.520565553,0.188377535,0.670211121,0.292708683,0.558611401,0.412410356,0.810344828,0,0.458823529,0.164475,0.875,0.341040462,0.375446648,0.1,0.53968254,0.453900709,0.650793651,0.397142857,0.758142577,0.187769784,0.276260504,0.188571429,0,0,0.875,1,4,1,1,1,3,1,3,1,4,3,3,2,3,3,1,3,3,3,3,2,3,2
5,7,0.724358974,0.681818182,0.033898305,0.16,0.104477612,0.424242424,0.098765432,0.473684211,0.21,0.604166667,0.467213115,0.777777778,0.454875833,0.650591669,0.063261297,0.950548309,0.520162569,0.633711507,0.479434447,0.333333333,0.483334622,0.129746076,0.357055961,0.797799927,0.816091954,0.4499525,0.458823529,0.1,1,0.595375723,0.496360684,0.6,0.587301587,0.546099291,0.788359788,0.854285714,0.755015198,0.339209726,0.210084034,0.114285714,0,0,1,2,4,1,1,1,2,1,3,1,1,3,2,2,2,2,2,2,3,3,3,2,3,3
17,8,0.685897436,0.272727273,0.06779661,0.27,0.104477612,0.373737374,0.12345679,0.447368421,0.64,0.854166667,0.827868852,0.944444444,0.412477286,0.604009718,0.123772102,0.851644928,0.564968279,0.351701783,0.502570694,0.382345294,0.341195577,0.392742284,0.329944387,0.441424578,0.649425287,0.323862164,0.947299509,0.3125,0.625,0.184971098,0.227848445,0.3,0.698412698,0.19858156,0.412698413,0.408571429,0.359342166,0.153768845,0.337184874,0.357142857,0.286,0,0.625,5,4,0,1,1,3,1,1,1,1,3,4,3,4,1,4,1,1,1,3,3,3,3
12,9,0.487179487,0.454545455,0.423728814,0.57,0.119402985,0.373737374,0.074074074,0.359649123,0.41,0.802083333,0.204918033,0.425925926,0.465778316,0.58513223,0.199538738,1,0.550297383,0.416531605,0.584832905,0,0.407006419,0.857149714,0.541579771,0.715011547,0.229885057,0,0.77273515,0.277775,0.375,0.115606936,0.208016297,0.533333333,0.53968254,0.177304965,0.17989418,0.214285714,0.737967915,0.247058823,0.233193277,0,0,0,0.375,1,3,0,1,1,3,1,1,4,4,3,2,4,4,3,3,3,3,3,4,2,3,2
18,10,0.461538462,0.409090909,1,0.97,0.820895522,1,0.24691358,0.728070175,0.76,0.958333333,0.459016393,0.759259259,0.122047244,0.895509605,0,1,0.24316019,0.410048622,0,0,0.725001933,0.266692267,0.22323601,0.817709979,0.034482759,0.1919164,0.950495812,0,0.875,0.011560694,0.061523958,0,0.634920635,0.035460993,0.060846561,0.091428571,0.537662338,0.45,0,0,0,0.611111111,0.875,1,2,1,1,1,3,1,1,2,1,3,1,1,4,3,1,3,1,3,1,2,3,3
1,11,0.442307692,1,0.033898305,0.08,0.029850746,0.090909091,0.074074074,0.377192982,0.05,0.239583333,0.467213115,0.787037037,0.33827983,0.866599081,0.132450671,0.925832849,0.816891356,0.675850891,0.637532134,0.096333853,0.75257134,0.097441559,0.628215155,0.539893035,1,0.338146645,0.833946279,0.81325,0.875,1,1,0.233333333,0.253968254,1,1,1,0.466592028,0.004433497,0.037815126,0.808571429,0,0,0.875,1,4,1,1,0,3,1,1,2,1,3,3,2,4,3,1,3,3,3,3,2,3,3
4,12,0.423076923,0.636363636,0,0,0,0,0,0,0.27,0.635416667,0.901639344,0.981481481,0.604482132,0.782227194,1,0.925832849,0.406443299,0.675850891,0.520565553,0.302392096,0.269778053,0.410262564,0.210245047,0.442518537,0.620689655,0.50968132,0.796880716,0.0446375,1,0.260115607,0.248241891,0.066666667,1,0.226950355,0.484126984,0.42,0.81516548,0,0.713235294,0,0.143,0,1,5,4,1,1,1,3,1,3,3,1,3,1,3,1,3,1,3,3,3,1,3,3,3
14,12,0.423076923,0.363636364,0.101694915,0.23,0.089552239,0.424242424,0.061728395,0.438596491,0.15,0.53125,0.352459016,0.666666667,0.370684434,1,0.041171948,1,0.4361023,0.675850891,0.557840617,0,0.580001547,0.369221908,0.446124435,0.743418014,0.557471264,0.381345539,0.831269857,0,0.75,0.352601156,0.356429168,0.433333333,0.682539683,0.34751773,0.502645503,0.48,0.618268813,0.577033493,0.06197479,0,0.118,0,0.75,3,4,1,1,1,3,3,3,1,4,3,4,1,1,3,1,3,1,3,3,2,1,3
7,14,0.397435897,0.545454545,0.084745763,0.26,0.208955224,0.575757576,0.209876543,0.657894737,0.26,0.666666667,0.262295082,0.518518519,0.233192005,0.78210484,0.034987614,0.861531112,0.309159397,0.724473258,0.627249357,0.400026001,0.713865904,0.410262564,0.558611401,0.657809651,0.551724138,0.268693324,0.933224223,0.05555,1,0.427745665,0.471104485,0.666666667,0.492063492,0.460992908,0.584656085,0.517142857,0.786661699,0.324590164,0,0,0,0,1,3,4,1,1,0,3,3,1,1,1,3,3,3,1,3,1,3,1,1,3,2,1,2
29,15,0.320512821,0.363636364,0.338983051,0.45,0.432835821,0.666666667,0.209876543,0.535087719,0.23,0.625,0.336065574,0.685185185,0.353422168,0.442729545,0.131357308,1,0.198017446,0.902755267,0.670951157,0.722308892,0.44613719,0,0.931004519,0.468834326,0.086206897,0.178685551,0.390006739,0.059525,1,0.075144509,0.10590313,0.6,0.619047619,0.106382979,0.095238095,0.108571429,0,0.583098591,1,-1,-1,-1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,3,3,3,1,1,1,3,1,3
41,16,0.301282051,0.227272727,0.830508475,0.92,0.179104478,0.545454545,0.160493827,0.622807018,0.22,0.697916667,0.491803279,0.842592593,0.341913992,0.744175071,0,1,0.313065028,0.983792545,0.609254499,0,0.22743794,0,0.479622871,0.817709979,0.040229885,0.181811901,0.663040339,0.8928625,0.875,0.01734104,0.06410435,0.333333333,0.746031746,0.042553191,0.055555556,0.111428571,0,0.266666666,0.150210084,0.815714286,0,0,0.875,1,2,1,1,1,3,3,3,1,4,3,2,3,2,3,1,2,3,2,3,2,2,2
23,17,0.262820513,0.5,0.050847458,0.12,0.029850746,0.070707071,0.024691358,0.070175439,0.07,0.3125,0.532786885,0.824074074,0.377952756,0.647288109,0.638780217,1,0.745400476,0.448946515,0.542416452,0,0.552393473,0.35122162,0.51724887,0.535407804,0.25862069,0.261715174,0.931799365,0.2941125,0.625,0.098265896,0.142401436,0.3,0.825396825,0.120567376,0.132275132,0.162857143,0.462987013,0.214285714,0.803571429,0,0,0,0.625,1,3,1,1,1,3,1,3,4,4,3,2,1,4,3,3,3,1,1,3,3,1,3
20,18,0.243589744,0.363636364,0.152542373,0.33,0.044776119,0.262626263,0.024691358,0.157894737,0.14,0.59375,0.868852459,0.981481481,0.427922471,0.885109507,0.349978645,1,0.513164155,0.578606159,0.502570694,0,0.483334622,0,0.413799096,0.465941412,0.068965517,0.310026773,0.878771541,0.2083375,0.75,0.132947977,0.107051728,0.133333333,-1,0.14893617,0.068783069,0.06,0.257342657,0,0.175420168,0.238571429,0.667,0,0.75,1,2,1,0,1,3,1,3,1,4,3,3,1,4,3,3,3,1,1,1,3,3,3
21,19,0.237179487,0.409090909,0.13559322,0.24,0.044776119,0.161616162,0.061728395,0.333333333,0.08,0.34375,0.745901639,0.916666667,0.525741975,0.699987765,0.112086786,1,0.588739096,0.805510535,0.674807198,0.361154446,0.309334158,0.26184419,0.326381648,0.597277258,0.304597701,0.418723551,1,0.625,0.875,0.289017341,0.225415493,0.4,0.507936508,0.276595745,0.216931217,0.214285714,0,0.016666666,0.525210084,0.714285714,0,0,0.875,1,3,1,1,1,3,1,1,3,4,3,3,3,2,3,3,1,1,1,3,3,1,3
22,20,0.230769231,0.272727273,0.06779661,0.15,0.029850746,0.141414141,0.024691358,0.140350877,0.05,0.229166667,0.401639344,0.722222222,0.771653543,0.714687735,0.1396942,1,0.734080095,0.25445705,0.562982005,0.520020801,0.533330756,0,0.454031978,0.787832746,0.247126437,0.254011573,0.864869548,0.178575,1,0.104046243,0.143064234,0.5,0.825396825,0.127659574,0.195767196,0.208571429,0.557575757,0.183333333,0.050420168,0,0.619,0,1,5,3,1,1,1,3,1,3,3,1,3,1,3,1,3,1,1,1,1,3,2,3,1
27,21,0.224358974,0.409090909,0.86440678,0.85,0.880597015,0.939393939,0.530864198,0.842105263,0.3,0.71875,0.12295082,0.314814815,0.127195639,0.491164287,0.024805672,0.925832849,0.091712926,0.79471637,0.658097686,0.634165367,0.246809991,0.165506648,0.833029197,0.895636319,0.206896552,0,0.187696159,0.11905,0.875,0.179190751,0.247017035,0.233333333,0.888888889,0.255319149,0.261904762,0.162857143,0.377581642,0.646601941,0.050420168,0,0,0,0.875,1,4,1,0,1,3,1,1,4,1,3,1,2,1,3,2,3,1,1,1,2,1,3
15,22,0.192307692,0.318181818,0.152542373,0.25,0.134328358,0.494949495,0.061728395,0.359649123,0.45,0.760416667,0.696721311,0.907407407,0.350999394,0.768541015,0.19383275,0.901096619,0.251209358,0.682333874,0.449871465,0.419396776,0.537042765,0.272740364,0.423183872,0.457785341,0.281609195,0.458260644,0.864349668,0.0657875,0.875,0.190751445,0.21313765,0.466666667,-1,0.177304965,0.317460317,0.397142857,0.66675143,0.276923077,0,0.075714286,0,0.277777778,0.875,2,4,1,1,1,3,1,3,3,4,3,1,1,3,3,1,1,3,3,3,2,3,3
