CID,CSRankingTheory,Average Count,Facult,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support & Outcomes:5thPercentile,Student Support & Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Fi-1cial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
40,23,0.166666667,0.272727273,0.355932203,0.45,0.417910448,0.676767677,0.333333333,0.666666667,0.25,0.625,0.155737705,0.342592593,0.264082374,0.591424726,0.024651918,0.948076763,0.268199841,0.481361426,0.538560411,0.245319813,1,0.2250276,0.729970455,0.707621247,0.316091954,0.275360567,0.75554058,0.09375,0.75,0.306358382,0.351553788,0.633333333,0.761904762,0.333333333,0.473544974,0.488571429,0.477080666,0.304225353,0.262605042,0,0.025,0,0.75,5,4,1,1,1,2,1,3,1,4,3,1,4,2,1,1,3,3,3,3,3,3,3
38,24,0.153846154,0.181818182,0.762711864,0.81,0.656716418,0.828282828,0.407407407,0.745614035,0.07,0.4375,0.540983607,0.824074074,0.340399758,0.347031165,0.024942342,1,0.29982157,0.416531605,0.733933162,0.812532501,0.22743794,0.411414583,0.302398332,0.670086301,0.103448276,0.392555488,0.352748628,0,0,0.034682081,0.07420472,1,0.507936508,0.042553191,0.116402116,0.165714286,0.675524475,0.276923077,-1,-1,-1,-1,0,3,3,1,1,1,2,2,1,-1,-1,3,-1,-1,-1,3,-1,-1,1,1,3,2,-1,2
26,25,0.134615385,0.136363636,0.474576271,0.55,0.208955224,0.565656566,0.160493827,0.578947368,0.27,0.625,0.278688525,0.555555556,0.335857056,0.750187901,0.010814043,0.799015535,0.73370341,0,0.690231362,0.361154446,0.407006419,0.63999424,0.644899201,0.568968032,0.195402299,0.300388635,0.434235102,0.078125,1,0.173410405,0.15948456,0.466666667,0.777777778,0.191489362,0.283068783,0.382857143,0.491781818,0.3168,0,0.09,0.063,0,1,5,4,0,0,1,3,3,1,1,1,3,1,1,1,3,1,3,3,3,3,3,3,3
45,25,0.134615385,0.318181818,0.372881356,0.45,0.208955224,0.565656566,0.197530864,0.631578947,0.03,0.229166667,0.663934426,0.916666667,0.249848577,0.753246753,0.054941488,1,0.643933386,0.189627229,0.609254499,0,0.736524631,0,0.132994439,0.793800899,0.051724138,0.332170308,1,0,1,0.057803468,0.062113761,0.066666667,0.73015873,0.070921986,0.03968254,0.031428571,0,0,0.525210084,0,0.5,0,1,1,2,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1
34,27,0.128205128,0.181818182,0.559322034,0.6,1,0.96969697,1,1,0.26,0.614583333,0.196721311,0.444444444,0.084797093,0,0.050773042,0.370628063,0.432652657,0.481361426,0.857326478,0.928627145,0.644459052,0.097969568,0.625,0.778959524,0.109195402,0.767665602,0.321016655,0.037875,0.75,0.219653179,0.162635306,0.466666667,0.746031746,0.134751773,0.291005291,0.294285714,0.296212121,0.525,0,0,0,0,0.75,2,4,1,0,1,3,1,1,1,1,3,1,4,4,3,1,3,1,3,2,3,3,3
16,28,0.121794872,0.363636364,0.118644068,0.28,0.149253731,0.494949495,0.098765432,0.5,0.1,0.40625,0.196721311,0.453703704,0.443064809,0.765464683,0.017989237,1,0.401308485,0.222042139,0.595115681,0.300182007,0.616425644,0.3000048,0.525199861,0.869770269,0.574712644,0.024682615,0.864272649,0,0.75,0.312138728,0.419165806,0.9,0.206349206,0.411347518,0.529100529,0.691428571,0.799916598,0.322018349,0.170168067,0,0,1,0.75,5,4,1,0,1,3,3,1,1,4,1,4,3,3,3,3,3,3,3,3,3,1,1
35,29,0.108974359,0.272727273,0.254237288,0.33,0.104477612,0.343434343,0.037037037,0.210526316,0.39,0.729166667,0.221311475,0.546296296,0.537250151,0.637884323,0.263876313,1,0.399563838,0.546191248,0.332904884,0,0.266684711,0.15998656,1,0.636696244,0.137931034,0.304810433,1,0,0.875,0.104046243,0.117389367,0.4,0.365079365,0.120567376,0.076719577,0.088571429,0.586803519,0.203225807,0,0,1,0,0.875,3,2,1,1,1,3,1,3,1,1,3,3,3,3,1,4,1,1,1,1,2,3,3
25,29,0.108974359,0.272727273,0.355932203,0.49,0.507462687,0.737373737,0.148148148,0.51754386,0.85,0.90625,0.245901639,0.601851852,0.400666263,0.574889444,0.084684377,0.307697101,0,0.578606159,0.667095116,0,0.418026448,0,0.540363226,0.974133949,0.183908046,0,0.96266487,0,1,0.098265896,0.18084595,0.6,0.73015873,0.156028369,0.288359788,0.379285714,0.664721845,0.483582088,0.349789916,0,0,0,1,2,4,1,0,1,3,1,1,1,1,3,1,1,1,3,1,1,1,1,3,3,1,3
33,31,0.102564103,0.318181818,0.271186441,0.36,0.104477612,0.434343434,0.086419753,0.535087719,0.1,0.416666667,0.049180328,0.12962963,0.408843125,0.780776424,0.035670966,0.950548309,0.33445678,0.481361426,0.721079692,0,0.672453793,0.6000096,0.675703858,1,0.264367816,0.403022714,0.913680562,0,0.75,0.080924855,0.119472118,0.566666667,0.682539683,0.085106383,0.283068783,0.365714286,0.640810988,0.323741007,0,0,0.071,0.62962963,0.75,1,4,1,1,1,3,3,3,3,1,3,4,3,1,3,4,3,3,3,3,3,1,3
19,32,0.096153846,0.181818182,0.237288136,0.41,0.149253731,0.525252525,0.172839506,0.605263158,0.05,0.291666667,0.270491803,0.518518519,0.354936402,0.613326109,0.04576749,1,0.421074544,0.578606159,0.790488432,0.342173687,0.580001547,0.4500072,0.310349322,0.868226571,0.224137931,0.3939373,0.458823529,0.15625,1,0.23699422,0.23243876,0.666666667,0.634920635,0.234042553,0.243386243,0.351428571,0.627272727,0.486,0.218487395,0.06,0,0,1,2,4,1,1,1,3,3,3,1,1,3,1,1,1,3,3,3,3,3,3,3,3,3
6,32,0.096153846,0.318181818,0.220338983,0.32,0.208955224,0.565656566,0.172839506,0.596491228,0.22,0.625,0.491803279,0.824074074,0.27195639,0.774623761,0.04504997,1,0.300852498,0.659643436,0.56940874,0.224128965,0.435697162,0.112945807,0.755344108,0.48162149,0.408045977,0.379618274,0.922518533,0.0925875,1,0.433526012,0.403864069,0.133333333,0.650793651,0.425531915,0.330687831,0.277142857,0.68200122,0.446979866,0.077731092,0.052857143,0.222,0,1,5,4,1,1,1,3,3,1,1,3,3,3,3,3,3,2,3,1,1,1,2,3,3
44,34,0.08974359,0.181818182,0.813559322,0.9,0.119402985,0.414141414,0.345679012,0.754385965,0.04,0.260416667,0.385245902,0.768518519,0.18322229,0.609463215,0.021969762,1,0.310368755,0.497568882,0.857326478,0,0.257791354,0,0.521637122,0.879299866,0.091954023,0.431816219,0.881505728,1,0.875,0.023121387,0.057567361,0.8,0.603174603,0.028368794,0.034391534,0.028571429,0,0,0.210084034,1,0,0,0.875,1,2,1,1,1,3,3,3,3,3,3,3,3,1,1,1,4,3,3,3,3,1,3
13,34,0.08974359,0.136363636,0.13559322,0.34,0.119402985,0.484848485,0.086419753,0.49122807,0.1,0.479166667,0.532786885,0.833333333,0.327983041,0.917306112,0.055368583,1,0.230114988,0.578606159,0.749357326,0,0.449617199,0.173474776,0.652111575,0.538519509,0.390804598,0.37013559,0.922980649,0,0.75,0.231213873,0.27864647,0.266666667,0.650793651,0.234042553,0.328042328,0.357142857,0.804639498,0.136551724,0,0,0.032,0.682539683,0.75,1,4,1,1,1,3,3,1,4,4,3,3,2,3,3,3,3,1,3,3,2,3,3
37,34,0.08974359,0.181818182,0.542372881,0.56,0.656716418,0.828282828,0.444444444,0.807017544,0.06,0.229166667,0.754098361,0.935185185,0.133555421,0.607260841,0.008353976,0.792307053,0.469746233,0.740680713,0.93059126,0.722308892,0.290000773,0,0.400634341,0.583918804,0.097701149,0,0.545720612,0,0.875,0.138728324,0.215904912,0.9,0.444444444,0.205673759,0.201058201,0.134285714,0.68429752,0.212727272,0,0,0.32,0,0.875,5,3,1,0,1,3,2,1,1,1,3,3,2,1,3,1,-1,3,3,3,2,3,3
10,37,0.070512821,0.272727273,0.118644068,0.25,0.164179104,0.474747475,0.111111111,0.447368421,0.65,0.84375,0.385245902,0.685185185,0.499697153,0.686021919,0.03334757,0.516989283,0.390642347,0.675850891,0.475578406,0,0.282924754,0.446503144,0.700078206,0.58655646,0.431034483,0.63775801,1,0.0329,1,0.283236994,0.223904531,0.266666667,0.888888889,0.212765957,0.365079365,0.485714286,0.627272727,0.244444444,0.691176471,0,0,0,1,2,4,1,1,1,3,3,3,1,1,3,3,3,3,3,3,3,1,1,3,2,3,3
52,38,0.057692308,0,0.525423729,0.59,0.223880597,0.626262626,0.160493827,0.570175439,0.12,0.53125,0,0,0.30466384,0.717799025,0.041137781,1,0.131760508,0.675850891,0.781491003,0.722308892,0.552393473,0.872749964,0.813303789,0.984976298,0,0.476483289,0.280812554,0,1,0.075144509,0.106724913,0.933333333,0.619047619,0.070921986,0.063492063,0.091428571,0.023232324,1,0.087184874,0,0,0,1,1,2,1,1,1,3,1,3,1,3,3,1,3,3,3,1,3,1,1,3,3,3,3
36,39,0.051282051,0.090909091,0.355932203,0.42,0.089552239,0.373737374,0.061728395,0.394736842,0.18,0.635416667,0.62295082,0.87037037,0.329497274,0.913478177,0.135389083,1,0.533782712,0.578606159,0.857326478,0,0.429626479,0.711131378,0.0674748,0.704643248,0.028735632,0.172726488,1,0.15625,0.625,0.080924855,0.10552122,0.566666667,0,0.113475177,0.092592593,0.054285714,1,0,0.919117647,0,0,0,0.625,4,2,0,1,1,3,1,4,1,1,4,2,2,3,3,4,3,1,1,1,2,1,3
55,39,0.051282051,0.136363636,0.949152542,1,0.71641791,0.868686869,0.444444444,0.780701754,0.31,0.6875,0.37704918,0.657407407,0.106299213,0.45629337,0.134039464,0.877835009,0.264928628,0.25445705,0.505141388,0,0.351519604,0.564729036,0.494264859,0.690288076,0.137931034,1,0,0,0.375,0.23699422,0.136836089,0.4,0.761904762,0.078014184,0.124338624,0.191428571,0.44078624,0.802702702,0,0,0,0,0.375,1,3,1,1,0,3,1,1,1,4,2,4,1,4,1,4,1,1,1,4,3,1,2
57,39,0.051282051,0.181818182,0.881355932,0.86,0.268656716,0.636363636,0.148148148,0.543859649,0.24,0.614583333,0.213114754,0.435185185,0.124470018,0.791333834,0.200871274,1,0.738540841,0.578606159,0.285347044,0,0.351519604,0.63999424,0.71193952,0.679251246,0.034482759,0.727264876,0.819485896,0.15625,0.25,0.01734104,0,0.166666667,0.904761905,0,0,0,0.664171124,0.211764706,0.656512605,0.178571429,0,0,0.25,5,1,1,1,1,3,1,1,1,4,4,4,4,4,1,4,1,3,3,3,3,1,3
30,42,0.044871795,0.136363636,0.813559322,0.86,0.373134328,0.727272727,0.259259259,0.798245614,0.12,0.583333333,0.336065574,0.657407407,0,0.952753841,0.054360639,1,0.33001586,0.25445705,0.551413882,1,0,0.92310277,0.594803615,0.455816215,0.028735632,0.675878746,0.75128526,0,0.625,0.040462428,0.064813862,0.666666667,0.603174603,0.021276596,0.037037037,0.057142857,0,0.4125,0.933823529,0,0,0,0.625,2,2,1,1,1,3,3,1,1,4,3,3,1,1,3,1,3,-1,-1,3,3,3,3
31,43,0.038461538,0.136363636,0.288135593,0.49,0.194029851,0.515151515,0.135802469,0.526315789,0.47,0.78125,0.016393443,0.064814815,0.417928528,0.580185629,0.062697531,0.505483094,0.621292625,0.059967585,0.354755784,0,0.460327894,1,0.692301008,0.994505895,0.293103448,0.902893169,0.80123231,0.0245125,1,0.416184971,0.232785136,0.4,0.682539683,0.219858156,0.288359788,0.488571429,0.409647495,0.385714285,0.040966387,0,0.176,0.518518519,1,1,4,1,0,1,2,1,1,1,1,3,3,1,1,3,1,1,1,3,3,3,1,3
39,44,0.032051282,0.454545455,0.610169492,0.7,0.402985075,0.656565657,0.271604938,0.605263158,0.35,0.8125,0.278688525,0.648148148,0.366444579,0.263777945,0.157358845,1,0.258267248,0.539708266,0.771208226,0,0.368262315,0,0.813303789,0.733499453,0.022988506,0.150202954,0.60063541,0.1388875,0.625,0.040462428,0.070960813,0.366666667,0.80952381,0.070921986,0.063492063,0.022857143,0.501818182,0.719999999,0,0.158571429,0,0,0.625,2,2,0,1,1,3,1,1,1,1,1,1,3,-1,3,-1,1,1,-1,2,2,1,2
42,44,0.032051282,0.181818182,0.779661017,0.82,0.746268657,0.95959596,0.320987654,0.728070175,0.36,0.729166667,0.450819672,0.740740741,0.038461538,0.87012987,0.045203724,0.480767633,0.684952419,0.358055105,0.471722365,0.684217369,0.719395252,0.342869486,0.700078206,0.325075969,0.172413793,0.179929182,0.251198614,0,0.625,0.184971098,0.238944096,0.633333333,0.428571429,0.226950355,0.137566138,0.18,0.604040404,0.133333333,0.066176471,0,0.375,0,0.625,5,3,1,0,1,3,1,1,4,4,3,3,2,4,3,1,1,3,1,3,3,3,3
49,46,0.025641026,0.045454545,0.576271186,0.69,0.447761194,0.676767677,0.530864198,0.780701754,0,0.21875,0.581967213,0.87037037,0.245003028,0.387547849,0.012231998,0.826929467,0.598770817,0.416531605,1,0,0,0.685738972,0.219499479,0.741169321,0,0.454547025,0.694194666,0,0.875,0.01734104,0.045885472,0.5,-1,0.021276596,0.018518519,0.074285714,0.774866311,0.476470587,0.095588235,0,0,0,0.875,5,2,1,1,1,3,1,1,1,4,3,3,1,3,3,1,3,3,3,3,2,3,3
46,47,0.019230769,0.181818182,0.576271186,0.63,0.52238806,0.727272727,0.24691358,0.649122807,0.23,0.666666667,0.172131148,0.37962963,0.190187765,0.570642009,0.150337405,0.755649248,0.139314036,0.416531605,0.719794344,0.565262611,0.618668316,0.137138194,0.80000869,0.729305944,0.057471264,0,0.779301049,0,0.625,0.052023121,0.127213278,0.733333333,0.587301587,0.09929078,0.148148148,0.231428571,0.794545454,0.32,0,0,0.087,0,0.625,3,3,1,1,1,3,3,1,1,4,3,2,1,4,2,4,2,1,1,3,2,1,3
47,48,0.012820513,0.045454545,0.169491525,0.32,0.119402985,0.464646465,0.111111111,0.51754386,0,0,0.56557377,0.851851852,0.439127801,0.640418801,0.053318527,1,0.818655829,0.578606159,0.857326478,0.928627145,0.257791354,0.48000768,0,0.83928528,0.149425287,0.107954055,0.730932897,0.1136375,0.75,0,0.051571028,0.433333333,0.857142857,0.028368794,0.021164021,0.054285714,0.657142858,0.685714285,0,0,0,0,0.75,1,2,1,1,1,2,3,1,1,1,1,2,4,4,3,1,2,3,3,3,2,1,2
50,48,0.012820513,0.045454545,0.610169492,0.68,0.52238806,0.737373737,0.518518519,0.842105263,0.23,0.604166667,0.139344262,0.324074074,0.056632344,0.579468983,0.045528316,0.653838166,0.359040444,0.25445705,0.673521851,0.722308892,0.351519604,0.423558777,0.704770594,0.806551598,0.120689655,0.996493652,0.614903244,0,0.75,0.50867052,0.320447515,0.4,0.682539683,0.234042553,0.193121693,0.342857143,0.59876033,0.593181819,0,0,0,0.097883598,0.75,3,3,1,0,1,3,1,1,1,1,3,4,1,4,3,3,3,1,1,3,3,1,3
32,50,0,0.045454545,0.474576271,0.58,0.537313433,0.737373737,0.592592593,0.859649123,0.13,0.46875,0.081967213,0.175925926,0.033010297,0.597087973,0.039412317,1,0.628588422,0.578606159,0.485861183,0.838793552,0.580001547,0.744827917,0.658063956,0.776163851,0.235632184,0.863632438,0.51092712,0.06945,0.875,0.369942197,0.256994531,-1,-1,0.205673759,0.349206349,0.337142857,0.43322433,0.517985611,0.116596639,0,0,0,0.875,4,4,1,0,1,3,3,1,2,4,3,3,1,1,3,1,3,3,3,1,2,1,3
43,50,0,0,0.06779661,0.15,0.089552239,0.414141414,0.061728395,0.359649123,0.17,0.614583333,0.803278689,0.935185185,0.191096305,0.841708762,0.308037926,1,0.247085646,0.740680713,0.642673522,0.5,0.594888253,0.221523544,0.200816823,0.541363802,0.281609195,0.394800933,0.891056128,0,1,0.10982659,0.140637864,0,0.841269841,0.113475177,0.224867725,0.285714286,0.92496148,0.137288135,0.031512605,0,0,0,1,3,4,1,1,1,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3
