CID,USnewsCSRankAllarea,USnewsTotalRank,Parsed SAT/ACT 25th percentile,Parsed SAT/ACT 75th percentile,Parsed Room and board,Parsed Student-faculty ratio,Total undergraduate enrollment,Total faculty full time,Total faculty part time,Classes with fewer than 20 students percentage,Classes with 50 or more students percentage,6-year graduation rate percentage,Average percent of need met,Received need-based scholarship or grant aid percent,Received need-based self-help aid percent,Average financial aid package dollar,Average need-based scholarship or grant award (undergraduates)dollar,"Average need-based loan (excluding PLUS, unsubsidized, or other private loans) dollar",Fall 2014 acceptance rate percent,Applicants,Average high school GPA,Average freshman retention rate percent,Average alumni giving rate percent,Degree-seeking women percent,Degree-seeking men percent,Diversity index,In sorority percent,In fraternity percent,Students who live off-campus percent,Room and board,Student-faculty ratio,SAT/ACT 25th-75th percentile,College Name,LocationCity,State,Category Name,School type,Religious affiliation,Setting,Selectivity,Costs
1,1,23,1340,1540,"12,830",13,"6,309",944,67,65,11,88,83,44,39,"36,001","30,068","5,445",24.6,"19,812",3.7,95,16.7,44,56,0.65,20,21,39,"12,830 (2015-16)",13:01,1340-1540,Carnegie Mellon University,Pittsburgh,PA,National Universis,private,NaN,urban,most selective,"2015-2016 Tuition and Fees: 50,410"
2,1,7,1420,1570,"13,730",8,"4,512",1230,274,67,14,91,100,57,52,"42,353","39,576","2,974",7.9,"18,356",NaN,98,36.8,46,54,0.7,32,50,13,"13,730 (2015-16)",8:01,1420-1570,Massachusetts Institute of Technology,Cambridge,MA,National Universis,private,NaN,urban,most selective,"2015-2016 Tuition and Fees: 46,704"
3,1,4,1380,1570,"14,107",4,"7,019",1559,24,70,11,95,100,47,36,"47,000","43,350","3,100",5.1,"42,167",4,98,35.5,47,53,0.73,28,24,8,"14,107 (2015-16)",4:01,1380-1570,Stanford University,Stanford,CA,National Universis,private,NaN,suburban,most selective,"2015-2016 Tuition and Fees: 46,320"
4,1,20,1290,1490,"15,422",17,"27,126",1642,630,59,15,91,85,51,46,"23,345","22,135","4,640",16,"73,779",3.9,97,12.8,52,48,0.68,10,10,74,"15,422 (2015-16)",17:01,1290-1490,University of California--Berkeley,Berkeley,CA,National Universis,public,NaN,city,most selective,"2015-2016 In-state tuition and fees: 13,432; Out-of-state tuition and fees: 38,140"
5,5,41,26,32,"11,010",18,"32,959",1928,3,42,20,84,65,37,36,"15,793","13,522","4,636",59,"35,822",NaN,94,9.7,44,56,0.58,23,23,50,"11,010 (2015-16)",18:01,26-32,University of Illinois--Urbana-Champaign,Champaign,IL,National Universis,public,NaN,city,more selective,"2015-2016 In-state tuition and fees: 15,626; Out-of-state tuition and fees: 30,786"
6,6,52,1110,1350,"10,833",11,"30,672",3307,1211,35,22,84,NaN,NaN,NaN,NaN,NaN,NaN,55.2,"31,611",3.8,93,13.2,52,48,0.64,15,16,76,"10,833 (2014-15)",11:01,1110-1350,University of Washington,Seattle,WA,National Universis,public,NaN,urban,more selective,"2014-2015 In-state tuition and fees: 12,394; Out-of-state tuition and fees: 33,513"
7,9,36,1310,1490,"13,194",19,"14,682",1054,99,39,25,82,58,35,27,"11,415","9,395","3,983",33.4,"25,884",3.9,96,25.9,34,66,0.57,30,23,46,"13,194 (2015-16)",19:01,1310-1490,Georgia Institute of Technology,Atlanta,GA,National Universis,public,NaN,urban,most selective,"2015-2016 In-state tuition and fees: 12,204; Out-of-state tuition and fees: 32,396"
8,15,39,1180,1420,"12,243",19,"24,810",1032,191,38,36,86,85,58,46,"22,196","17,624","5,833",33.5,"73,440",4,95,6.7,48,52,0.65,12,12,56,"12,243 (2015-16)",19:01,1180-1420,University of California--San Diego,La Jolla,CA,National Universis,public,NaN,urban,most selective,"2015-2016 In-state tuition and fees: 14,042; Out-of-state tuition and fees: 38,066"
9,6,15,1330,1510,"13,678",9,"14,453",1702,384,55,18,93,100,46,44,"43,416","37,559","4,802",14.2,"43,037",NaN,97,29.5,NaN,NaN,0.63,23,27,45,"13,678 (2015-16)",9:01,1330-1510,Cornell University,Ithaca,NY,National Universis,private,NaN,rural,most selective,"2015-2016 Tuition and Fees: 49,116"
10,9,29,29,33,"10,246",15,"28,395",2660,599,48,18,91,82,30,33,"21,422","15,050","5,205",32.2,"49,776",3.8,97,19.1,49,51,0.43,25,17,66,"10,246 (2014-15)",15:01,29-33,University of Michigan,Ann Arbor,MI,National Universis,public,NaN,city,most selective,"2014-2015 In-state tuition and fees: 14,336; Out-of-state tuition and fees: 43,377"
11,9,52,1170,1390,"11,456",18,"39,523",2745,281,36,25,81,67,35,30,"12,935","9,118","4,987",39.7,"38,785",NaN,94,11.4,52,48,0.66,17,15,81,"11,456 (2014-15)",18:01,1170-1390,University of Texas--Austin,Austin,TX,National Universis,public,NaN,urban,more selective,"2015-2016 In-state tuition and fees: 9,830; Out-of-state tuition and fees: 34,836"
12,15,4,1390,1570,"12,432",6,"6,170",1446,221,82,9,96,100,48,41,"46,516","44,887","3,919",7,"32,967",NaN,99,33.6,48,52,NaN,9,19,6,"12,432 (2014-15)",6:01,1390-1570,Columbia University,New York,NY,National Universis,private,NaN,urban,most selective,"2014-2015 Tuition and Fees: 51,008"
13,25,75,1120,1310,"12,028",17,"22,252",1278,193,45,19,76,82,50,48,"15,758","9,887","4,567",61.3,"37,183",3.8,89,10.1,49,51,0.35,6,8,35,"12,028 (2015-16)",17:01,1120-1310,University of Massachusetts--Amherst,Amherst,MA,National Universis,public,NaN,suburban,more selective,"2015-2016 In-state tuition and fees: 14,356; Out-of-state tuition and fees: 30,689"
14,15,57,1210,1420,"10,972",17,"27,056",1756,686,45,16,85,76,34,39,"13,667","9,213","6,182",47.8,"26,268",4,95,7.4,46,54,0.63,14,13,56,"10,972 (2015-16)",17:01,1210-1420,University of Maryland--College Park,College Park,MD,National Universis,public,NaN,suburban,more selective,"2015-2016 In-state tuition and fees: 9,996; Out-of-state tuition and fees: 31,144"
15,11,41,26,31,"8,804",17,"31,289",2443,492,46,20,85,80,30,31,"14,015","9,890","5,995",49.8,"30,464",3.8,95,10.9,51,49,0.3,8,9,75,"8,804 (2015-16)",17:01,26-31,University of Wisconsin--Madison,Madison,WI,National Universis,public,NaN,city,more selective,"2015-2016 In-state tuition and fees: 10,415; Out-of-state tuition and fees: 29,665"
16,20,23,1280,1480,"13,855",9,"18,740",1869,1399,57,13,91,100,36,37,"45,308","32,314","6,662",18,"51,920",3.7,97,35.9,51,49,0.68,20,25,67,"13,855 (2015-16)",9:01,1280-1480,University of Southern California,Los Angeles,CA,National Universis,private,NaN,urban,most selective,"2015-2016 Tuition and Fees: 50,210"
17,13,23,1190,1460,"14,903",17,"29,633",1931,611,51,22,91,83,54,34,"22,405","18,806","6,771",18.6,"86,548",4,97,11.2,56,44,0.72,15,15,57,"14,903 (2015-16)",17:01,1190-1460,University of California--Los Angeles,Los Angeles,CA,National Universis,public,NaN,urban,most selective,"2015-2016 In-state tuition and fees: 12,753; Out-of-state tuition and fees: 35,631"
18,60,47,1340,1500,"15,000",14,"13,510",1207,433,64,8,82,81,36,33,"26,669","22,445","4,880",32.2,"49,819",NaN,96,11.7,51,49,0.5,NaN,NaN,NaN,"15,000 (2015-16)",14:01,1340-1500,Northeastern University,Boston,MA,National Universis,private,NaN,urban,most selective,"2015-2016 Tuition and Fees: 45,530"
19,20,61,1080,1330,"10,030",13,"29,255",2185,308,39,18,74,85,30,37,"13,076","11,744","4,543",59.2,"39,706",3.7,92,19.2,43,57,0.33,20,17,63,"10,030 (2015-16)",13:01,1080-1330,Purdue University--West Lafayette,West Lafayette,IN,National Universis,public,NaN,city,more selective,"2015-2016 In-state tuition and fees: 10,002; Out-of-state tuition and fees: 28,804"
20,18,2,1410,1600,"15,381",7,"6,694",1741,271,74,10,98,100,59,50,"47,475","44,430","4,462",6,"34,295",4,97,35,47,53,0.66,NaN,NaN,NaN,"15,381 (2015-16)",7:01,1410-1600,Harvard University,Cambridge,MA,National Universis,private,NaN,urban,most selective,"2015-2016 Tuition and Fees: 45,278"
21,19,9,1360,1550,"13,990",6,"9,746",1455,593,67,10,96,100,47,48,"42,419","40,044",355,10.4,"35,866",3.9,98,33.4,50,50,0.64,27,30,41,"13,990 (2015-16)",6:01,1360-1550,University of Pennsylvania,Philadelphia,PA,National Universis,private,NaN,urban,most selective,"2015-2016 Tuition and Fees: 49,536"
22,34,37,1120,1380,"14,192",17,"20,238",911,168,49,18,87,82,59,49,"22,572","17,948","6,250",36.3,"66,813",4,92,15.7,53,47,0.7,13,8,62,"14,192 (2015-16)",17:01,1120-1380,University of California--Santa Barbara,Santa Barbara,CA,National Universis,public,NaN,suburban,most selective,"2015-2016 In-state tuition and fees: 13,865; Out-of-state tuition and fees: 38,573"
23,8,1,1400,1600,"14,160",6,"5,391",902,201,72,11,97,100,59,59,"44,047","42,097",0,7.4,"26,641",3.9,98,62.9,NaN,NaN,0.65,0,0,2,"14,160 (2015-16)",6:01,1400-1600,Princeton University,Princeton,NJ,National Universis,private,NaN,suburban,most selective,"2015-2016 Tuition and Fees: 43,450"
24,70,32,1240,1450,"16,782",10,"24,985",2843,4001,61,8,82,58,49,45,"29,271","24,246","5,788",35.5,"50,804",3.7,92,8.9,57,43,0.64,6,7,56,"16,782 (2014-15)",10:01,1240-1450,New York University,New York,NY,National Universis,private,NaN,urban,more selective,"2014-2015 Tuition and Fees: 46,170"
25,63,52,27,31,"9,850",18,"44,741",3710,1571,30,22,83,65,40,44,"12,473","9,335","4,565",53,"36,788",NaN,93,14.5,47,53,0.33,NaN,NaN,75,"9,850 (2014-15)",18:01,27-31,Ohio State University,Columbus,OH,National Universis,public,NaN,urban,more selective,"2014-2015 In-state tuition and fees: 10,037; Out-of-state tuition and fees: 26,537"
26,34,41,1080,1350,"14,517",18,"27,728",1652,178,35,27,87,78,63,39,"20,093","16,993","5,401",40.6,"60,506",4,93,7.6,58,42,0.7,NaN,NaN,75,"14,517 (2015-16)",18:01,1080-1350,University of California--Davis,Davis,CA,National Universis,public,NaN,city,more selective,"2015-2016 In-state tuition and fees: 13,951; Out-of-state tuition and fees: 38,659"
27,34,72,1090,1340,"12,054",12,"34,544",1992,2069,38,20,80,52,38,47,"13,376","10,995","4,684",60.5,"31,941",NaN,92,7.5,50,50,0.67,NaN,NaN,53,"12,054 (2015-16)",12:01,1090-1340,Rutgers The State University of New Jersey--New Brunswick,Piscataway,NJ,National Universis,public,NaN,city,more selective,"2015-2016 In-state tuition and fees: 14,131; Out-of-state tuition and fees: 29,521"
28,29,69,26,30,"8,920",17,"34,351",1942,971,38,20,78,72,42,40,"12,397","9,388","4,624",45.4,"44,761",NaN,91,9.6,51,49,0.38,NaN,NaN,77,"8,920 (2014-15)",17:01,26-30,University of Minnesota--Twin Cities,Minneapolis,MN,National Universis,public,NaN,urban,more selective,"2014-2015 In-state tuition and fees: 13,560; Out-of-state tuition and fees: 20,810"
29,20,14,1330,1550,"12,700",9,"6,548",758,112,68,10,96,100,45,40,"42,468","40,918","5,628",8.7,"30,431",NaN,98,36.4,51,49,0.61,10,22,22,"12,700 (2015-16)",9:01,1330-1550,Brown University,Providence,RI,National Universis,private,NaN,city,most selective,"2015-2016 Tuition and Fees: 49,346"
30,60,12,1390,1560,"14,936",7,"8,405",1422,207,76,7,94,100,43,34,"40,978","37,674","4,926",13.1,"33,674",NaN,97,26.3,51,49,0.61,32,29,60,"14,936 (2015-16)",7:01,1390-1560,Northwestern University,Evanston,IL,National Universis,private,NaN,suburban,most selective,"2015-2016 Tuition and Fees: 49,047"
31,29,47,1090,1290,"10,920",16,"40,541",2659,410,38,15,86,53,25,41,"11,213","7,215","4,667",50.3,"50,299",3.6,92,14.5,46,54,0.35,19,17,65,"10,920 (2015-16)",16:01,1090-1290,Pennsylvania State University,University Park,PA,National Universis,public,NaN,city,more selective,"2015-2016 In-state tuition and fees: 17,514; Out-of-state tuition and fees: 31,346"
32,40,70,1060,1310,"9,522",20,"47,093",2714,1058,22,26,79,68,38,25,"15,300","9,559","6,918",71,"32,190",NaN,91,22.2,49,51,0.5,6,3,76,"9,522 (2014-15)",20:01,1060-1310,Texas A&M University--College Station,College Station,TX,National Universis,public,NaN,city,more selective,"2014-2015 In-state tuition and fees: 9,180; Out-of-state tuition and fees: 26,356"
33,40,89,1150,1350,"12,032",16,"16,480",1138,489,45,20,69,70,48,55,"12,700","7,700","5,200",41.3,"33,714",3.7,90,9.6,46,54,0.66,3,3,40,"12,032 (2015-16)",16:01,1150-1350,State University of New York--Stony Brook,Stony Brook,NY,National Universis,public,NaN,suburban,more selective,"2015-2016 In-state tuition and fees: 8,855; Out-of-state tuition and fees: 23,935"
34,52,75,1060,1290,"9,795",17,"36,419",2047,357,36,18,78,64,34,26,"12,352","10,558","4,240",76.1,"36,362",3.6,89,13.1,50,50,0.34,18,22,63,"9,795 (2015-16)",17:01,1060-1290,Indiana University--Bloomington,Bloomington,IN,National Universis,public,NaN,city,more selective,"2015-2016 In-state tuition and fees: 10,388; Out-of-state tuition and fees: 33,741"
35,25,8,1370,1550,"12,886",7,"6,626",1239,164,73,6,95,100,43,40,"44,635","41,910","4,061",11.4,"31,523",NaN,97,34.9,50,50,0.62,39,30,18,"12,886 (2015-16)",7:01,1370-1550,Duke University,Durham,NC,National Universis,private,Methodist,suburban,most selective,"2015-2016 Tuition and Fees: 49,341"
36,20,18,1390,1550,"13,650",6,"3,926",641,208,67,8,93,100,39,30,"39,201","34,954","3,593",15.1,"17,728",NaN,97,30.2,48,52,0.69,0,0,30,"13,650 (2015-16)",6:01,1390-1550,Rice University,Houston,TX,National Universis,private,NaN,urban,most selective,"2015-2016 Tuition and Fees: 42,253"
37,40,115,21,28,"8,957",17,"23,907",1416,449,50,15,62,61,38,43,"18,259","6,758","4,322",81.4,"10,991",3.6,88,10.4,44,56,0.39,7,5,87,"8,957 (2015-16)",17:01,21-28,University of Utah,Salt Lake City,UT,National Universis,public,NaN,urban,more selective,"2015-2016 In-state tuition and fees: 8,239; Out-of-state tuition and fees: 26,177"
38,28,10,1360,1530,"14,540",10,"6,469",4281,324,72,10,94,100,43,41,"37,632","34,462","4,380",15,"23,877",3.8,97,35.3,51,49,0.65,25,23,48,"14,540 (2015-16)",10:01,1360-1530,Johns Hopkins University,Baltimore,MD,National Universis,private,NaN,urban,most selective,"2015-2016 Tuition and Fees: 48,710"
39,34,4,1430,1590,"14,772",6,"5,681",1303,445,77,6,93,100,45,26,"43,220","39,784","4,196",8.8,"27,500",4,99,40.7,47,53,0.57,12,8,46,"14,772 (2015-16)",6:01,1430-1590,University of Chicago,Chicago,IL,National Universis,private,NaN,urban,most selective,"2015-2016 Tuition and Fees: 50,193"
40,29,39,1040,1310,"12,638",19,"24,489",1172,286,58,20,87,81,67,46,"21,475","17,317","6,741",37.4,"66,505",3.9,93,6,54,46,0.67,10,10,59,"12,638 (2014-15)",19:01,1040-1310,University of California--Irvine,Irvine,CA,National Universis,public,NaN,suburban,more selective,"2014-2015 In-state tuition and fees: 14,577; Out-of-state tuition and fees: 37,455"
41,48,41,1190,1410,"14,520",13,"18,017",1673,977,60,12,85,86,38,34,"35,766","29,854","5,526",34.5,"54,190",3.6,93,9.3,61,39,0.56,11,7,25,"14,520 (2015-16)",13:01,1190-1410,Boston University,Boston,MA,National Universis,private,NaN,urban,more selective,"2015-2016 Tuition and Fees: 48,436"
42,40,89,24,30,"13,194",18,"26,426",1417,510,48,15,70,80,29,33,"16,269","10,380","6,418",84.2,"28,768",3.6,84,7.5,44,56,0.39,19,11,71,"13,194 (2015-16)",18:01,24-30,University of Colorado--Boulder,Boulder,CO,National Universis,public,NaN,city,more selective,"2015-2016 In-state tuition and fees: 11,091; Out-of-state tuition and fees: 34,125"
43,25,30,1210,1400,"10,902",13,"18,350",1707,299,39,15,90,100,40,36,"18,725","17,274","2,465",28.5,"31,332",4,97,17.6,58,42,0.5,18,18,47,"10,902 (2015-16)",13:01,1210-1400,University of North Carolina--Chapel Hill,Chapel Hill,NC,National Universis,public,NaN,suburban,most selective,"2015-2016 In-state tuition and fees: 8,562; Out-of-state tuition and fees: 33,644"
44,40,12,1360,1550,"14,238",7,"4,289",575,168,64,8,95,100,49,48,"45,258","42,263","4,052",11.5,"19,296",NaN,98,46.3,NaN,NaN,0.6,44,46,12,"14,238 (2015-16)",7:01,1360-1550,Dartmouth College,Hanover,NH,National Universis,private,NaN,rural,most selective,"2015-2016 Tuition and Fees: 49,506"
45,20,3,1410,1600,"14,600",6,"5,477",1194,493,75,9,96,100,50,43,"48,261","45,710","2,620",6.3,"30,932",NaN,99,33.6,49,51,0.65,NaN,NaN,14,"14,600 (2015-16)",6:01,1410-1600,Yale University,New Haven,CT,National Universis,private,NaN,city,most selective,"2015-2016 Tuition and Fees: 47,600"
46,29,26,1250,1460,"10,400",15,"16,483",1332,83,55,15,94,100,27,21,"24,427","19,406","6,466",29,"31,021",4,97,20.8,55,45,0.5,28,25,59,"10,400 (2015-16)",15:01,1250-1460,University of Virginia,Charlottesville,VA,National Universis,public,NaN,suburban,most selective,"2015-2016 In-state tuition and fees: 14,526; Out-of-state tuition and fees: 43,822"
47,52,33,1240,1450,"14,366",10,"6,266",606,234,69,12,84,95,51,43,"40,149","35,076","4,990",36.4,"17,410",3.8,96,18.1,51,49,0.48,26,20,NaN,"14,366 (2015-16)",10:01,1240-1450,University of Rochester,Rochester,NY,National Universis,private,NaN,suburban,most selective,"2015-2016 Tuition and Fees: 48,290"
48,48,129,1020,1270,"10,010",22,"39,968",2033,244,41,18,63,63,52,39,"14,002","9,775","4,363",84.3,"22,581",3.5,84,8.9,44,56,0.57,15,9,77,"10,010 (2014-15)",22:01,1020-1270,Arizona State University,Tempe,AZ,National Universis,public,NaN,urban,selective,"2014-2015 In-state tuition and fees: 10,127; Out-of-state tuition and fees: 24,503"
49,40,121,970,1220,"9,700",22,"32,987",1583,251,39,15,60,57,47,31,"11,507","9,844","4,105",74.6,"32,723",3.4,80,6.2,52,48,0.6,19,10,80,"9,700 (2014-15)",22:01,970-1220,University of Arizona,Tucson,AZ,National Universis,public,NaN,city,selective,"2015-2016 In-state tuition and fees: 10,872; Out-of-state tuition and fees: 30,025"
50,40,70,1110,1320,"8,270",16,"24,247",1443,218,28,20,83,64,32,33,"16,455","6,736","4,711",72.6,"20,744",NaN,92,11.9,42,58,0.41,14,19,NaN,"8,270 (2014-15)",16:01,1110-1320,Virginia Polytechnic Institute and State University,Blacksburg,VA,National Universis,public,NaN,rural,more selective,"2014-2015 In-state tuition and fees: 12,017; Out-of-state tuition and fees: 27,444"
51,40,15,32,34,"15,280",8,"7,401",889,365,66,11,95,100,39,26,"37,928","35,555","6,006",17.1,"29,211",NaN,97,24,51,49,0.54,25,25,21,"15,280 (2015-16)",8:01,32-34,Washington University in St. Louis,St. Louis,MO,National Universis,private,NaN,suburban,most selective,"2015-2016 Tuition and Fees: 48,093"
