USRankAI,College Name,LocationCity,State,Category Name,USnewsTotalRank,School type,Religious affiliation,Setting,Selectivity,Total undergraduate enrollment,Costs,Room and board,Student-faculty ratio,Total faculty full time,Total faculty part time,Classes with fewer than 20 students percentage,Classes with 50 or more students percentage,6-year graduation rate percentage,Average percent of need met,Received need-based scholarship or grant aid percent,Received need-based self-help aid percent,Average financial aid package dollar,Average need-based scholarship or grant award (undergraduates)dollar,"Average need-based loan (excluding PLUS, unsubsidized, or other private loans) dollar",Fall 2014 acceptance rate percent,Applicants,Average high school GPA,SAT/ACT 25th-75th percentile,Average freshman retention rate percent,Average alumni giving rate percent,Degree-seeking women percent,Degree-seeking men percent,Diversity index,In sorority percent,In fraternity percent,Students who live off-campus percent
1,Stanford University,Stanford,CA,National Universis,4,private,N/A,suburban,most selective,"7,019","2015-2016 Tuition and Fees: 46,320","14,107 (2015-16)",4:01,1559,24,70,11,95,100,47,36,"47,000","43,350","3,100",5.1,"42,167",4,1380-1570,98,35.5,47,53,0.73,28,24,8
2,Carnegie Mellon University,Pittsburgh,PA,National Universis,23,private,N/A,urban,most selective,"6,309","2015-2016 Tuition and Fees: 50,410","12,830 (2015-16)",13:01,944,67,65,11,88,83,44,39,"36,001","30,068","5,445",24.6,"19,812",3.7,1340-1540,95,16.7,44,56,0.65,20,21,39
3,Massachusetts Institute of Technology,Cambridge,MA,National Universis,7,private,N/A,urban,most selective,"4,512","2015-2016 Tuition and Fees: 46,704","13,730 (2015-16)",8:01,1230,274,67,14,91,100,57,52,"42,353","39,576","2,974",7.9,"18,356",N/A,1420-1570,98,36.8,46,54,0.7,32,50,13
4,University of California--Berkeley,Berkeley,CA,National Universis,20,public,N/A,city,most selective,"27,126","2015-2016 In-state tuition and fees: 13,432; Out-of-state tuition and fees: 38,140","15,422 (2015-16)",17:01,1642,630,59,15,91,85,51,46,"23,345","22,135","4,640",16,"73,779",3.9,1290-1490,97,12.8,52,48,0.68,10,10,74
5,University of Washington,Seattle,WA,National Universis,52,public,N/A,urban,more selective,"30,672","2014-2015 In-state tuition and fees: 12,394; Out-of-state tuition and fees: 33,513","10,833 (2014-15)",11:01,3307,1211,35,22,84,N/A,N/A,N/A,N/A,N/A,N/A,55.2,"31,611",3.8,1110-1350,93,13.2,52,48,0.64,15,16,76
6,Georgia Institute of Technology,Atlanta,GA,National Universis,36,public,N/A,urban,most selective,"14,682","2015-2016 In-state tuition and fees: 12,204; Out-of-state tuition and fees: 32,396","13,194 (2015-16)",19:01,1054,99,39,25,82,58,35,27,"11,415","9,395","3,983",33.4,"25,884",3.9,1310-1490,96,25.9,34,66,0.57,30,23,46
7,University of Illinois--Urbana-Champaign,Champaign,IL,National Universis,41,public,N/A,city,more selective,"32,959","2015-2016 In-state tuition and fees: 15,626; Out-of-state tuition and fees: 30,786","11,010 (2015-16)",18:01,1928,3,42,20,84,65,37,36,"15,793","13,522","4,636",59,"35,822",N/A,26-32,94,9.7,44,56,0.58,23,23,50
7,University of Texas--Austin,Austin,TX,National Universis,52,public,N/A,urban,more selective,"39,523","2015-2016 In-state tuition and fees: 9,830; Out-of-state tuition and fees: 34,836","11,456 (2014-15)",18:01,2745,281,36,25,81,67,35,30,"12,935","9,118","4,987",39.7,"38,785",N/A,1170-1390,94,11.4,52,48,0.66,17,15,81
9,Cornell University,Ithaca,NY,National Universis,15,private,N/A,rural,most selective,"14,453","2015-2016 Tuition and Fees: 49,116","13,678 (2015-16)",9:01,1702,384,55,18,93,100,46,44,"43,416","37,559","4,802",14.2,"43,037",N/A,1330-1510,97,29.5,N/A,N/A,0.63,23,27,45
9,University of California--Los Angeles,Los Angeles,CA,National Universis,23,public,N/A,urban,most selective,"29,633","2015-2016 In-state tuition and fees: 12,753; Out-of-state tuition and fees: 35,631","14,903 (2015-16)",17:01,1931,611,51,22,91,83,54,34,"22,405","18,806","6,771",18.6,"86,548",4,1190-1460,97,11.2,56,44,0.72,15,15,57
11,University of Michigan,Ann Arbor,MI,National Universis,29,public,N/A,city,most selective,"28,395","2014-2015 In-state tuition and fees: 14,336; Out-of-state tuition and fees: 43,377","10,246 (2014-15)",15:01,2660,599,48,18,91,82,30,33,"21,422","15,050","5,205",32.2,"49,776",3.8,29-33,97,19.1,49,51,0.43,25,17,66
12,University of Massachusetts--Amherst,Amherst,MA,National Universis,75,public,N/A,suburban,more selective,"22,252","2015-2016 In-state tuition and fees: 14,356; Out-of-state tuition and fees: 30,689","12,028 (2015-16)",17:01,1278,193,45,19,76,82,50,48,"15,758","9,887","4,567",61.3,"37,183",3.8,1120-1310,89,10.1,49,51,0.35,6,8,35
13,Columbia University,New York,NY,National Universis,4,private,N/A,urban,most selective,"6,170","2014-2015 Tuition and Fees: 51,008","12,432 (2014-15)",6:01,1446,221,82,9,96,100,48,41,"46,516","44,887","3,919",7,"32,967",N/A,1390-1570,99,33.6,48,52,N/A,9,19,6
13,University of Pennsylvania,Philadelphia,PA,National Universis,9,private,N/A,urban,most selective,"9,746","2015-2016 Tuition and Fees: 49,536","13,990 (2015-16)",6:01,1455,593,67,10,96,100,47,48,"42,419","40,044",355,10.4,"35,866",3.9,1360-1550,98,33.4,50,50,0.64,27,30,41
15,University of Southern California,Los Angeles,CA,National Universis,23,private,N/A,urban,most selective,"18,740","2015-2016 Tuition and Fees: 50,210","13,855 (2015-16)",9:01,1869,1399,57,13,91,100,36,37,"45,308","32,314","6,662",18,"51,920",3.7,1280-1480,97,35.9,51,49,0.68,20,25,67
16,California Institute of Technology,Pasadena,CA,National Universis,10,private,N/A,suburban,most selective,983,"2015-2016 Tuition and Fees: 45,390","13,371 (2015-16)",3:01,330,25,65,9,92,100,50,32,"41,669","37,557","4,624",8.8,"6,525",N/A,1500-1600,97,21.5,N/A,N/A,0.65,N/A,N/A,15
16,California Institute of Technology,"Pasadena,",CA,National Universis,10,private,N/A,suburban,most selective,983,"2015-2016 Tuition and Fees: 45,390","13,371 (2015-16)",3:01,330,25,65,9,92,100,50,32,"41,669","37,557","4,624",8.8,"6,525",N/A,1500-1600,97,21.5,N/A,N/A,0.65,N/A,N/A,15
16,University of Maryland--College Park,College Park,MD,National Universis,57,public,N/A,suburban,more selective,"27,056","2015-2016 In-state tuition and fees: 9,996; Out-of-state tuition and fees: 31,144","10,972 (2015-16)",17:01,1756,686,45,16,85,76,34,39,"13,667","9,213","6,182",47.8,"26,268",4,1210-1420,95,7.4,46,54,0.63,14,13,56
18,University of Wisconsin--Madison,Madison,WI,National Universis,41,public,N/A,city,more selective,"31,289","2015-2016 In-state tuition and fees: 10,415; Out-of-state tuition and fees: 29,665","8,804 (2015-16)",17:01,2443,492,46,20,85,80,30,31,"14,015","9,890","5,995",49.8,"30,464",3.8,26-31,95,10.9,51,49,0.3,8,9,75
